model,face,Ts_C,A_m2,Lc_m,Tfilm_K,Ra,Nu,h_conv_W_m2K,h_rad_eq_W_m2K,q_conv_W_m2,q_rad_W_m2,q_out_W_m2,Q_face_W,radiation_fraction
independent,top,53.224173736487046,0.0254,0.012385410571484297,312.2620868682435,4187.257090834409,4.343863468129697,9.534305177644551,6.228136405846074,269.0978857905278,175.7840039731396,444.8818897636674,11.299999999997151,0.3951251062760063
independent,bottom,63.15697243502427,0.0254,0.012385410571484297,317.2284862175121,5259.478807940878,2.2993201303454014,5.118938982708706,6.540316492069735,195.3232136597873,249.55867610423954,444.8818897640268,11.30000000000628,0.5609549002693948
independent,side,52.77879577134854,0.0254,0.0127,312.03939788567425,4458.063540135614,4.581600470652213,9.800719056523022,6.214442055069709,272.25217308351677,172.629716680661,444.8818897641778,11.300000000010115,0.3880349383791915
uniform,top,55.68157346360749,0.0254,0.012385410571484297,313.4907867318037,4469.254523483778,4.415221866510601,9.725241302847264,6.304161515516886,298.3857054846182,193.4215946647785,491.8073001493967,12.491905423794677,0.39328735991926644
uniform,bottom,55.68157346360749,0.0254,0.012385410571484297,313.4907867318037,4469.254523483778,2.2076109332553004,4.862620651423632,6.304161515516886,149.1928527423091,193.4215946647785,342.6144474070876,8.702406964140025,0.5645459382363957
uniform,side,55.68157346360749,0.0254,0.0127,313.4907867318037,4818.5351088782645,4.655072834768521,9.99956300911981,6.304161515516886,306.8023270682815,193.4215946647785,500.22392173306,12.705687612019725,0.38667002168680004
uniform_total,all,55.68157346360749,,,,,,,,,,,33.899999999954424,
