model,face,Ts_C,A_m2,Lc_m,Tfilm_K,Ra,Nu,h_conv_W_m2K,h_rad_eq_W_m2K,q_conv_W_m2,q_rad_W_m2,q_out_W_m2,Q_face_W,radiation_fraction
independent,top,73.65329173935606,0.0254,0.012385410571484297,322.476645869678,6212.841853372469,1.0,2.2594045112725816,6.884517181570255,109.92746684416211,334.95442291954697,444.88188976370907,11.29999999999821,0.7529064019608709
independent,bottom,73.65329173935606,0.0254,0.012385410571484297,322.476645869678,6212.841853372469,1.0,2.2594045112725816,6.884517181570255,109.92746684416211,334.95442291954697,444.88188976370907,11.29999999999821,0.7529064019608709
independent,side,52.77879577134854,0.0254,0.0127,312.03939788567425,4458.063540135614,4.581600470652213,9.800719056523022,6.214442055069709,272.25217308351677,172.629716680661,444.8818897641778,11.300000000010115,0.3880349383791915
uniform,top,63.58224265022727,0.0254,0.012385410571484297,317.4411213251136,5301.5203377823,1.0,2.2276267094182693,6.553974095361929,85.94683423690299,252.86701887055773,338.8138531074607,8.605871868929501,0.7463302239603424
uniform,bottom,63.58224265022727,0.0254,0.012385410571484297,317.4411213251136,5301.5203377823,1.0,2.2276267094182693,6.553974095361929,85.94683423690299,252.86701887055773,338.8138531074607,8.605871868929501,0.7463302239603424
uniform,side,63.58224265022727,0.0254,0.0127,317.4411213251136,5715.844050457758,4.8217759486633245,10.475050604713315,6.553974095361929,404.15094420445905,252.86701887055773,657.0179630750167,16.688256262105423,0.384870784486734
uniform_total,all,63.58224265022727,,,,,,,,,,,33.89999999996442,
