frequency_hz,measured_real_ohm,measured_imag_ohm,measured_magnitude_ohm,measured_phase_deg,model_real_ohm,model_imag_ohm,model_magnitude_ohm,model_phase_deg,magnitude_error_db,phase_error_deg
50350.3835690454,498.731511333357,-6273.96084418729,6293.75228260472,-85.4549845868343,3357.37584934124,-5854.9997205711,6749.29583894701,-60.1691642413579,0.606976387857788,25.2858203454764
50862.8537481946,505.301365552217,-6216.00393546979,6236.50818934802,-85.3526227524122,3307.85402275017,-5822.57243894361,6696.58480440367,-60.3987165915533,0.618237521434547,24.9539061608589
51380.5398892868,492.074657799535,-6126.97556004785,6146.70374934991,-85.4082701527065,3258.86674624771,-5789.93425565179,6644.06134488306,-60.6269982866808,0.675827031570828,24.7812718660257
51903.4950807947,502.982068627946,-6088.08014045156,6108.82237079471,-85.2770910816211,3210.41448759086,-5757.09494250113,6591.72992158397,-60.8540011708564,0.660838157624076,24.4230899107647
52431.7729515292,457.232582737711,-5993.971630148,6011.38565870932,-85.6378071969327,3162.49750140896,-5724.06418798611,6539.59488612277,-61.0797174693335,0.731525092930127,24.5580897275992
52965.4276761398,475.415503842666,-5983.80614744579,6002.66240192666,-85.4573723528483,3115.11583375507,-5690.85159262718,6487.66048025163,-61.304139785179,0.674883901584884,24.1532325676693
53504.5139806698,454.654168857741,-5933.05650460244,5950.45123499597,-85.6179494403137,3068.26932674281,-5657.46666451565,6435.93083567068,-61.5272610957707,0.681229356839493,24.090688344543
54049.0871481683,462.186904082374,-5853.63877900852,5871.85692003966,-85.4854519543564,3021.95762325964,-5623.9188150666,6384.40997393159,-61.7490747491232,0.726906056825873,23.7363772052332
54599.20302436,428.515565361971,-5802.79055227153,5818.59121981337,-85.7765753320922,2976.18017174767,-5590.21735497886,6333.10180643031,-61.9695744600505,0.735972444339502,23.8070008720417
55154.9180233714,427.218008620452,-5718.38161714784,5734.31805415639,-85.7273926009387,2930.9362310436,-5556.37149040146,6282.01013448643,-62.1887543061742,0.792337105068514,23.5386382947645
55716.2891335166,466.775047386096,-5685.50598264306,5704.63471429436,-85.3065928772145,2886.22487526906,-5522.39031930496,6231.1386495066,-62.4066087237843,0.766791489535288,22.8999841534302
