frequency_hz,measured_real_ohm,measured_imag_ohm,measured_magnitude_ohm,measured_phase_deg,model_real_ohm,model_imag_ohm,model_magnitude_ohm,model_phase_deg,magnitude_error_db,phase_error_deg
1000,0.482802941212678,0.0236700733731963,0.483382821805973,2.80675649841252,0.514501487344662,0.0146376150385457,0.514709665980625,1.62963065801346,0.545422230510793,-1.17712584039906
1010.17807895041,0.482558685803481,0.0250585729809072,0.483208875460936,2.97261672553282,0.514511708245184,0.0147865978164635,0.514724141066225,1.64617539974153,0.548792697289831,-1.3264413257913
1020.45975119194,0.485358917095329,0.0226770076760711,0.485888387472978,2.67503611344046,0.514522012509308,0.0149370969524678,0.514738786397524,1.662887655684,0.501007490801848,-1.01214845775646
1030.84607110529,0.482327977233276,0.0253053927086092,0.482991346218626,3.0032760767022,0.514532400880675,0.0150891278801652,0.514753604490746,1.67976911102527,0.553200936869688,-1.32350696567694
1041.33810380272,0.482149035369726,0.0241439217076824,0.482753168051111,2.86672827701104,0.514542874109965,0.0152427061902462,0.514768597905258,1.69682146762626,0.557738271049816,-1.16990680938478
1051.93692523729,0.481767253286634,0.0279965909325379,0.482580040452557,3.32584760374405,0.514553432954964,0.0153978476320851,0.514783769244369,1.71404644418212,0.561109799394878,-1.61180115956193
1062.64362231321,0.482209946592295,0.0249110952879773,0.482852974787348,2.95728643449937,0.514564078180636,0.0155545681153539,0.514799121156148,1.73144577638102,0.556457708966028,-1.22584065811835
1073.45929299726,0.483704630474552,0.0278353721897814,0.484504878703473,3.29352305807201,0.51457481055919,0.0157128837116549,0.51481465633426,1.74902121706445,0.527054957626302,-1.54450184100756
1084.38504643144,0.482008358270784,0.0271854861371949,0.482774386333215,3.22808752817117,0.514585630870155,0.015872810656168,0.514830377518812,1.76677453638864,0.558398880317202,-1.46131299178254
1095.42200304666,0.483148730447004,0.0277029084662841,0.483942297045881,3.28164723052229,0.514596539900449,0.0160343653493163,0.51484628749722,1.78470752198736,0.537680077856324,-1.49693970853493
1106.57129467768,0.483983650548857,0.0299297847361419,0.484908203697307,3.53869256593828,0.514607538444451,0.0161975643584473,0.514862389105092,1.80282197913597,0.520632720352711,-1.73587058680231
1117.83406467917,0.48280915874497,0.0288988076532457,0.483673262494222,3.42538359355112,0.514618627304076,0.0163624244195324,0.514878685227128,1.82111973091683,0.543056664277132,-1.60426386263429
1129.21146804293,0.483120513466986,0.0257620806448252,0.483806898805458,3.05236847414629,0.51462980728885,0.0165289624388831,0.514895178798039,1.83960261838591,0.540935369776005,-1.21276585576038
1140.70467151638,0.481894223518371,0.026397443352172,0.482616688144852,3.1354432800504,0.51464107921598,0.0166971954948842,0.514911872803476,1.85827250074081,0.562611416125571,-1.27717077930959
1152.31485372218,0.483519384476759,0.0314955632658606,0.48454408021378,3.72687661112049,0.514652443910436,0.0168671408397458,0.514928770280989,1.87713125549006,0.52827730991006,-1.84974535563044
1164.04320527909,0.48741945789294,0.0294760744494045,0.488309908662106,3.46067516646819,0.51466390220502,0.0170388159012725,0.514945874320996,1.89618077862366,0.461320920332307,-1.56449438784454
1175.89092892411,0.482826170268476,0.0303007356550619,0.483776028010237,3.59100347744485,0.514675454940448,0.0172122382846501,0.514963188067774,1.91542298478502,0.542636806345123,-1.67558049265983
1187.85923963577,0.482253881103363,0.0293313821552029,0.483145046356052,3.48052505622836,0.514687102965429,0.0173874257742512,0.514980714720465,1.9348598074442,0.55426869067082,-1.54566524878415
1199.94936475876,0.482080629667688,0.0308822116663588,0.48306877822749,3.66537426236545,0.514698847136735,0.0175643963354595,0.514998457534111,1.9544931990724,0.555939185684249,-1.71088106329305
1212.16254412976,0.483570166165872,0.0345432430713173,0.48480237339309,4.08591348277496,0.514710688319291,0.0177431681165114,0.515016419820698,1.97432513131782,0.525126764092111,-2.11158835145714
1224.50003020465,0.481894667854845,0.0299840331941505,0.482826587040854,3.56041848307029,0.514722627386248,0.0179237594503575,0.515034604950227,1.99435759518283,0.560904667869514,-1.56606088788746
1236.96308818685,0.482716366642148,0.0289946462220331,0.483586372981846,3.43737523545383,0.514734665219065,0.0181061888565425,0.515053016351804,2.01459260120248,0.547557611399229,-1.42278263425136
1249.55299615716,0.482517786023094,0.0292484756161583,0.483403441397035,3.46881765939931,0.514746802707594,0.0182904750431045,0.515071657514752,2.03503217962425,0.55115830106846,-1.43378547977506
1262.27104520476,0.479692796832641,0.0328346802876634,0.480815240568261,3.91575337546483,0.514759040750159,0.0184766369084934,0.515090531989739,2.05567838058916,0.598106837600803,-1.86007499487567
1275.11853955967,0.48072083033751,0.0314631751353096,0.481749362334793,3.7446674681341,0.514771380253639,0.018664693543509,0.515109643389939,2.07653327431427,0.581570638527997,-1.66813419381984
1288.09679672645,0.485643145951095,0.0318146571656818,0.486684125095371,3.74811143892008,0.514783822133556,0.0188546642332585,0.515128995392204,2.09759895127632,0.493376310719713,-1.65051248764377
1301.2071476193,0.483468529951679,0.0318018118535389,0.484513337990612,3.76340613274639,0.514796367314155,0.0190465684591346,0.515148591738266,2.11887752239684,0.53253559694294,-1.64452861034955
1314.4509366986,0.483156109661026,0.0333824954208114,0.484307977740711,3.95243106802339,0.514809016728494,0.0192404259008129,0.515168436235959,2.14037111922851,0.536552469073682,-1.81205994879488
1327.82952210876,0.482050065641935,0.0303311538340225,0.483003358868546,3.6003710759231,0.514821771318529,0.0194362564382705,0.515188532760466,2.16208189414282,0.560320737682408,-1.43828918178029
1341.34427581747,0.484080175822968,0.0343378352687121,0.485296510965962,4.05743362135948,0.514834632035201,0.0196340801538241,0.51520888525559,2.18401202051901,0.519523505138137,-1.87342160084047
1354.99658375642,0.48257455152711,0.0323664999197578,0.483658751702734,3.83710782617229,0.514847599838526,0.01983391733419,0.515229497735048,2.2061636929344,0.549233369776049,-1.6309441332379
1368.78784596343,0.484430466911906,0.0335722937078344,0.485592397157629,3.96440811183993,0.514860675697682,0.020035788472564,0.515250374283795,2.22853912735589,0.514928749731348,-1.73586898448404
1382.71947672601,0.484463024134341,0.0341447948362406,0.485664790537465,4.03152117141363,0.514873860591102,0.0202397142707236,0.515271519059365,2.25114056133287,0.513990374244202,-1.78038061008076
1396.79290472639,0.482391231067066,0.0355451602489618,0.483699036827162,4.21424269535116,0.514887155506563,0.02044571564115,0.515292936293249,2.27397025419133,0.549579330782064,-1.94027244115983
1411.00957318807,0.484774357091009,0.0339009004770749,0.485958278400685,4.00025583407481,0.51490056144128,0.0206538137091736,0.515314630292289,2.29703048722931,0.509469757291232,-1.7032253468455
