frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_NM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_NM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_NM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_NM_dBuA,error_NM_PY_minus_LT_dB,LT_I_NM_phase_deg,PY_I_NM_phase_deg
100.0,0.9877480483058603,0.987748048305859,0.9877480483058597,0.9877480483058596,0.9877480483058596,0.9877480483058596,119.89292360461293,119.89292360461292,119.89292360461292,119.89292360461292,119.89292360461292,119.89292360461292,0.0,-0.2716544327273113,-0.27165443272730494
101.15794542598987,0.9877507256398452,0.9877507256398564,0.987750725639851,0.9877507256398436,0.9877507256398436,0.9877507256398436,119.89294714806213,119.89294714806222,119.89294714806219,119.89294714806212,119.89294714806212,119.89294714806212,-7.105427357601002e-14,-0.2748010672383753,-0.27480106723862513
102.32929922807543,0.9877534653469044,0.9877534653469198,0.9877534653469122,0.9877534653469044,0.9877534653469044,0.9877534653469044,119.89297123993019,119.89297123993032,119.89297123993026,119.89297123993019,119.89297123993019,119.89297123993019,-7.105427357601002e-14,-0.27798417406496156,-0.2779841740652956
103.5142166679344,0.9877562688803667,0.9877562688803909,0.9877562688803788,0.9877562688803675,0.9877562688803675,0.9877562688803675,119.89299589299247,119.89299589299267,119.89299589299257,119.89299589299247,119.89299589299247,119.89299589299247,-9.947598300641403e-14,-0.28120417680185966,-0.28120417680235793
104.71285480508999,0.9877591377274297,0.9877591377274143,0.987759137727422,0.9877591377274314,0.9877591377274314,0.9877591377274314,119.89302112032189,119.89302112032176,119.89302112032183,119.8930211203219,119.8930211203219,119.8930211203219,7.105427357601002e-14,-0.28446150399474923,-0.2844615039943419
105.92537251772893,0.9877620734099585,0.987762073409997,0.9877620734099776,0.9877620734099595,0.9877620734099595,0.9877620734099595,119.89304693529601,119.89304693529634,119.89304693529617,119.89304693529601,119.89304693529601,119.89304693529601,-1.5631940186722204e-13,-0.2877565891932591,-0.2877565891941482
107.15193052376068,0.987765077485288,0.9877650774852652,0.9877650774852765,0.9877650774852893,0.9877650774852893,0.9877650774852893,119.89307335160393,119.89307335160373,119.89307335160383,119.89307335160393,119.89307335160393,119.89307335160393,9.947598300641403e-14,-0.29108987102318745,-0.2910898710226558
108.3926914021204,0.987768151547058,0.9877681515470585,0.9877681515470583,0.9877681515470575,0.9877681515470575,0.9877681515470575,119.8931003832538,119.89310038325382,119.8931003832538,119.8931003832538,119.8931003832538,119.8931003832538,0.0,-0.29446179322903815,-0.29446179322907073
109.64781961431855,0.9877712972260476,0.9877712972260646,0.987771297226056,0.987771297226049,0.987771297226049,0.987771297226049,119.89312804457998,119.89312804458012,119.89312804458007,119.89312804458001,119.89312804458001,119.89312804458001,-5.684341886080802e-14,-0.2978728047517343,-0.29787280475206357
110.91748152624017,0.9877745161910617,0.9877745161910861,0.9877745161910738,0.9877745161910616,0.9877745161910616,0.9877745161910616,119.89315635025093,119.89315635025115,119.89315635025105,119.89315635025093,119.89315635025093,119.89315635025093,-1.1368683772161603e-13,-0.3013233597810347,-0.3013233597816602
112.20184543019643,0.9877778101497937,0.9877778101497847,0.9877778101497892,0.9877778101497936,0.9877778101497936,0.9877778101497936,119.8931853152767,119.89318531527661,119.89318531527665,119.8931853152767,119.8931853152767,119.8931853152767,4.263256414560601e-14,-0.30481391782210504,-0.3048139178218715
113.5010815672316,0.9877811808497509,0.9877811808497484,0.9877811808497496,0.9877811808497516,0.9877811808497516,0.9877811808497516,119.89321495501711,119.8932149550171,119.8932149550171,119.89321495501711,119.89321495501711,119.89321495501711,1.4210854715202004e-14,-0.3083449437542796,-0.30834494375423094
114.81536214968837,0.987784630079178,0.9877846300792111,0.9877846300791945,0.9877846300791793,0.9877846300791793,0.9877846300791793,119.89324528518983,119.89324528519013,119.89324528518998,119.89324528518985,119.89324528518985,119.89324528518985,-1.2789769243681803e-13,-0.31191690790114507,-0.3119169079019212
116.14486138403437,0.987788159668007,0.9877881596680468,0.987788159668027,0.987788159668006,0.987788159668006,0.987788159668006,119.89327632187873,119.89327632187909,119.89327632187891,119.89327632187873,119.89327632187873,119.89327632187873,-1.8474111129762605e-13,-0.3155302860939506,-0.31553028609498923
117.48975549395307,0.9877917714888219,0.9877917714888499,0.987791771488836,0.9877917714888222,0.9877917714888222,0.9877917714888222,119.8933080815423,119.89330808154256,119.89330808154243,119.8933080815423,119.8933080815423,119.8933080815423,-1.2789769243681803e-13,-0.3191855597354368,-0.3191855597361862
118.85022274370196,0.9877954674578696,0.9877954674578453,0.9877954674578576,0.9877954674578714,0.9877954674578714,0.9877954674578714,119.89334058102258,119.89334058102237,119.89334058102247,119.8933405810226,119.8933405810226,119.8933405810226,1.2789769243681803e-13,-0.3228832158683203,-0.32288321586770263
120.22644346174143,0.9877992495360737,0.9877992495360848,0.9877992495360792,0.9877992495360727,0.9877992495360727,0.9877992495360727,119.893373837554,119.89337383755411,119.89337383755405,119.893373837554,119.893373837554,119.893373837554,-5.684341886080802e-14,-0.326623747238447,-0.3266237472387436
121.61860006463694,0.9878031197300607,0.9878031197300667,0.9878031197300637,0.9878031197300602,0.9878031197300602,0.9878031197300602,119.89340786877239,119.89340786877244,119.89340786877243,119.89340786877239,119.89340786877239,119.89340786877239,-4.263256414560601e-14,-0.33040765237383557,-0.33040765237401976
123.0268770812383,0.9878070800932506,0.9878070800932821,0.9878070800932662,0.9878070800932505,0.9878070800932505,0.9878070800932505,119.89344269272462,119.8934426927249,119.89344269272476,119.89344269272462,119.89344269272462,119.89344269272462,-1.4210854715202004e-13,-0.33423543564226255,-0.33423543564306424
124.45146117713865,0.9878111327269343,0.9878111327269483,0.9878111327269412,0.9878111327269344,0.9878111327269344,0.9878111327269344,119.89347832787789,119.89347832787801,119.89347832787794,119.89347832787789,119.89347832787789,119.89347832787789,-5.684341886080802e-14,-0.3381076073300753,-0.3381076073304483
125.89254117941688,0.9878152797813945,0.987815279781432,0.9878152797814134,0.9878152797813943,0.9878152797813943,0.9878152797813943,119.89351479312975,119.8935147931301,119.89351479312992,119.89351479312975,119.89351479312975,119.89351479312975,-1.7053025658242404e-13,-0.34202468370576605,-0.3420246837068948
127.35030810166634,0.9878195234570464,0.9878195234570274,0.9878195234570369,0.9878195234570485,0.9878195234570485,0.9878195234570485,119.89355210781798,119.89355210781783,119.89355210781792,119.89355210781801,119.89355210781801,119.89355210781801,8.526512829121202e-14,-0.345987187101925,-0.3459871871012899
