frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_NM_real_A,I_NM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_NM_phase_deg
1.174897554939529130e+02,9.877917714888219125e-01,9.877917714888219125e-01,9.877917714888219125e-01,1.198933080815423011e+02,1.198933080815423011e+02,1.198933080815423011e+02,9.877764438417886428e-01,-5.502800404764821018e-03,-9.877764438417886428e-01,5.502800404764821018e-03,9.877764438417886428e-01,-5.502800404764821018e-03,-3.191855597361859531e-01,1.796808144402638163e+02,-3.191855597361859531e-01
1.188502227437018917e+02,9.877954674578715011e-01,9.877954674578715011e-01,9.877954674578715011e-01,1.198933405810225992e+02,1.198933405810225992e+02,1.198933405810225992e+02,9.877797825649058394e-01,-5.566568632654127040e-03,-9.877797825649058394e-01,5.566568632654127040e-03,9.877797825649058394e-01,-5.566568632654127040e-03,-3.228832158677029662e-01,1.796771167841323233e+02,-3.228832158677029662e-01
1.202264434617413116e+02,9.877992495360727876e-01,9.877992495360727876e-01,9.877992495360727876e-01,1.198933738375539946e+02,1.198933738375539946e+02,1.198933738375539946e+02,9.877831990655157046e-01,-5.631076977306002235e-03,-9.877831990655157046e-01,5.631076977306002235e-03,9.877831990655157046e-01,-5.631076977306002235e-03,-3.266237472387439333e-01,1.796733762527612726e+02,-3.266237472387439333e-01
1.216186000646367944e+02,9.878031197300601862e-01,9.878031197300601862e-01,9.878031197300601862e-01,1.198934078687723854e+02,1.198934078687723854e+02,1.198934078687723854e+02,9.877866951556960595e-01,-5.696334069182071476e-03,-9.877866951556960595e-01,5.696334069182071476e-03,9.877866951556960595e-01,-5.696334069182071476e-03,-3.304076523740169247e-01,1.796695923476259793e+02,-3.304076523740169247e-01
1.230268770812381121e+02,9.878070800932501339e-01,9.878070800932501339e-01,9.878070800932501339e-01,1.198934426927246193e+02,1.198934426927246193e+02,1.198934426927246193e+02,9.877902726897518360e-01,-5.762348640801683020e-03,-9.877902726897518360e-01,5.762348640801683020e-03,9.877902726897518360e-01,-5.762348640801683020e-03,-3.342354356430773943e-01,1.796657645643569197e+02,-3.342354356430773943e-01
1.244514611771385688e+02,9.878111327269342157e-01,9.878111327269342157e-01,9.878111327269342157e-01,1.198934783278778866e+02,1.198934783278778866e+02,1.198934783278778866e+02,9.877939335652018427e-01,-5.829129527996634863e-03,-9.877939335652018427e-01,5.829129527996634863e-03,9.877939335652018427e-01,-5.829129527996634863e-03,-3.381076073304480345e-01,1.796618923926695572e+02,-3.381076073304480345e-01
1.258925411794167530e+02,9.878152797813943842e-01,9.878152797813943842e-01,9.878152797813943842e-01,1.198935147931297536e+02,1.198935147931297536e+02,1.198935147931297536e+02,9.877976797237831841e-01,-5.896685671187425551e-03,-9.877976797237831841e-01,5.896685671187425551e-03,9.877976797237831841e-01,-5.896685671187425551e-03,-3.420246837068948165e-01,1.796579753162931183e+02,-3.420246837068948165e-01
1.273503081016661582e+02,9.878195234570488203e-01,9.878195234570488203e-01,9.878195234570488203e-01,1.198935521078180102e+02,1.198935521078180102e+02,1.198935521078180102e+02,9.878015131524847670e-01,-5.965026116671321051e-03,-9.878015131524847670e-01,5.965026116671321051e-03,9.878015131524847670e-01,-5.965026116671321051e-03,-3.459871871012896727e-01,1.796540128128987135e+02,-3.459871871012896727e-01
1.288249551693133697e+02,9.878238660056199993e-01,9.878238660056199993e-01,9.878238660056199993e-01,1.198935902917310017e+02,1.198935902917310017e+02,1.198935902917310017e+02,9.878054358846011240e-01,-6.034160017934019071e-03,-9.878054358846011240e-01,6.034160017934019071e-03,9.878054358846011240e-01,-6.034160017934019071e-03,-3.499956459737418313e-01,1.796500043540262652e+02,-3.499956459737418313e-01
1.303166778452300036e+02,9.878283097313325101e-01,9.878283097313325101e-01,9.878283097313325101e-01,1.198936293651181018e+02,1.198936293651181018e+02,1.198936293651181018e+02,9.878094500008125500e-01,-6.104096636974003752e-03,-9.878094500008125500e-01,6.104096636974003752e-03,9.878094500008125500e-01,-6.104096636974003752e-03,-3.540505949893614224e-01,1.796459494050106400e+02,-3.540505949893614224e-01
