harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
1.100000000000000000e+01,1.375000000000000000e+06,4.060603501464083581e-02,8.121207002928166252e-04,1.958578641245873520e-08,1.281116385174353245e-03,7.953011288535761668e-10,1.040421135884397618e-06,-6.198936802214993946e+01,3.441833238547659102e-01,2.418777582552007743e+01,8.617714384767000979e+01,2.384359250166531297e+01
1.200000000000000000e+01,1.500000000000000000e+06,2.730989928482603090e-17,5.461979856965205757e-19,1.036888817371550141e-08,1.456869847129508644e-03,2.831732917197940550e-25,7.957393759241355040e-22,-3.709589542149635690e+02,-3.019845830204181425e+02,2.321528980622722571e+01,3.941742440211908161e+02,3.251998728266453895e+02
1.300000000000000000e+01,1.625000000000000000e+06,3.425274846682359320e-02,6.850549693364719204e-04,5.404115150071428961e-09,1.599221922104214879e-03,1.851057969211472938e-10,1.095554924809316589e-06,-7.465159960641736347e+01,7.926831092928804390e-01,2.232068938899516652e+01,9.697228899541252645e+01,2.152800627970228575e+01
1.400000000000000000e+01,1.750000000000000000e+06,2.721840186328655839e-17,5.443680372657310869e-19,2.722903952222923192e-09,1.718039365808202287e-03,7.411309400673474756e-26,9.352457175102724129e-22,-3.826021011163936123e+02,-3.005814854351888812e+02,2.149241877277186319e+01,4.040945198891654968e+02,3.220739042079607657e+02
1.500000000000000000e+01,1.875000000000000000e+06,2.957854651930788906e-02,5.915709303861577941e-04,1.293928616400647385e-09,1.820075516082849190e-03,3.827252777287023956e-11,1.076703766422197328e-06,-8.834225706251011445e+01,6.419246452600663178e-01,2.072131727693040304e+01,1.090635743394405210e+02,2.007939263167033772e+01
1.600000000000000000e+01,2.000000000000000000e+06,2.711305609464339077e-17,5.422611218928678538e-19,5.601360290279262823e-10,1.910111920512223881e-03,1.518699957566496252e-26,1.035779432957899019e-21,-3.963705603837635181e+02,-2.996946543367539562e+02,2.000000000000000000e+01,4.163705603837635181e+02,3.196946543367539562e+02
1.700000000000000000e+01,2.125000000000000000e+06,2.599089843756763329e-02,5.198179687513525748e-04,2.133646305596116445e-10,1.991646029851717580e-03,5.545538443044005716e-12,1.035293393709215526e-06,-1.051211255944803895e+02,3.012688550363257223e-01,2.000000000000000000e+01,1.251211255944803895e+02,1.969873114496367350e+01
1.800000000000000000e+01,2.250000000000000000e+06,2.699395928142810296e-17,5.398791856285620901e-19,8.008207433464726930e-11,2.067321465406072624e-03,2.161732253761766820e-27,1.116103829175876174e-21,-4.133039619515452046e+02,-2.990459080373479424e+02,2.000000000000000000e+01,4.333039619515452046e+02,3.190459080373479424e+02
1.900000000000000000e+01,2.375000000000000000e+06,2.314677103187487775e-02,4.629354206374975832e-04,6.142386725968581413e-11,2.139206950253454316e-03,1.421764191352223316e-12,9.903146693462412619e-07,-1.169434485627966893e+02,-8.453575558659331968e-02,2.000000000000000000e+01,1.369434485627966751e+02,2.008453575558659310e+01
2.000000000000000000e+01,2.500000000000000000e+06,2.686122137507018261e-17,5.372244275014036637e-19,1.007869889740132247e-10,2.208983662522034496e-03,2.707261622557726707e-27,1.186719983458353883e-21,-4.113493954627726907e+02,-2.985130348877179358e+02,2.000000000000000000e+01,4.313493954627726907e+02,3.185130348877179358e+02
2.100000000000000000e+01,2.625000000000000000e+06,2.083382021395532163e-02,4.166764042791063871e-04,1.658701519210083894e-10,2.278076021156812386e-03,3.455708923983744610e-12,9.492205251700740225e-07,-1.092292569096929071e+02,-4.526575904734834177e-01,2.000000000000000000e+01,1.292292569096929071e+02,2.045265759047348197e+01
2.200000000000000000e+01,2.750000000000000000e+06,9.716987712018501409e-17,1.943397542403700005e-18,2.385062543128624629e-10,2.347747239111773205e-03,2.317562342397644204e-26,4.562606214674891767e-21,-3.926993714902054080e+02,-2.868157402461711740e+02,2.000000000000000000e+01,4.126993714902054080e+02,3.068157402461711740e+02
2.300000000000000000e+01,2.875000000000000000e+06,1.891356955775250551e-02,3.782713911550500928e-04,3.088029658125245053e-10,2.419173236269448607e-03,5.840566373535450825e-12,9.151040255287089902e-07,-1.046709007256476553e+02,-7.705906838036427065e-01,2.000000000000000000e+01,1.246709007256476553e+02,2.077059068380364337e+01
2.400000000000000000e+01,3.000000000000000000e+06,2.655532459365485199e-17,5.311064918730970937e-19,3.717169506059250439e-10,2.493504087428836859e-03,9.871064280303907038e-27,1.324316208345557895e-21,-4.001127203992011800e+02,-2.975601661114704370e+02,2.000000000000000000e+01,4.201127203992011800e+02,3.175601661114704370e+02
