metric,value
raw_points,1201
raw_variables,113
I1_DM_source_abs_A_at_1kHz,0.0
I2_CM_source_abs_A_at_1kHz,0.5
I3_CM_source_abs_A_at_1kHz,0.5
max_abs_CM_error_dB,5.4160267382030725e-08
rms_CM_error_dB,1.6564526010170306e-09
max_CM_error_frequency_Hz,10964781.961432585
LT_I_CM_at_max_error_dBuA,113.01719239041206
PY_I_CM_at_max_error_dBuA,113.0171923362518

frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_CM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_CM_abs_A,LT_I_CM_dBuA,PY_I_CM_dBuA,error_CM_dB
100.0,0.49989267271509286,0.49989267271441074,0.9997853454295036,0.4998926727151352,0.4998926727151352,0.9997853454302704,119.99813533395366,119.99813533396033,6.679101716144942e-12
398.1071705535004,0.49993198739581496,0.4999319873956019,0.999863974791417,0.4999319873958015,0.4999319873958015,0.999863974791603,119.99881841968607,119.9988184196877,1.6200374375330284e-12
1000.0000000000133,0.5001549065733182,0.5001549065736308,1.000309813146949,0.500154906573472,0.500154906573472,1.000309813146944,120.00269058603487,120.00269058603482,-5.684341886080802e-14
10000.000000000266,0.5278479998103942,0.5278479998100815,1.0556959996204758,0.5278479998099748,0.5278479998099748,1.0556959996199495,120.47077751746548,120.47077751746114,-4.334310688136611e-12
100000.00000000399,0.1146953280916057,0.11469532809160263,0.2293906561832083,0.1146953280917402,0.1146953280917402,0.2293906561834804,107.21151447438096,107.21151447439127,1.0302869668521453e-11
1000000.0000000531,0.00017674589495915316,0.00017674589495915316,0.0003534917899183063,0.00017674589495908475,0.00017674589495908475,0.0003534917899181695,50.96758662944298,50.96758662943962,-3.353761712787673e-12
10000000.000000665,0.0003414710601835694,0.0003414710601835697,0.0006829421203671391,0.0003414710601846943,0.0003414710601846943,0.0006829421203693886,56.68767797201093,56.687677972039545,2.8613555969059234e-11
100000000.0,0.0028072474671950736,0.002807247467195159,0.005614494934390232,0.002807247467193198,0.002807247467193198,0.005614494934386396,74.98621388666731,74.98621388666139,-5.9259264162392356e-12
