frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_CM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_CM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_CM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_CM_dBuA,error_CM_PY_minus_LT_dB,error_HOT_PY_minus_LT_dB,error_RTN_PY_minus_LT_dB,LT_I_CM_phase_deg,PY_I_CM_phase_deg
142.88939585111058,0.4998954306635457,0.49989543066388675,0.9997908613274324,0.49989543066388487,0.49989543066388487,0.9997908613277697,113.97758334130594,113.97758334131188,119.99818325458854,113.97758334131184,113.97758334131184,119.99818325459147,2.9274360713316128e-12,5.8975047068088315e-12,-4.263256414560601e-14,-2.036547289755619e-05,-2.0365511358319362e-05
144.54397707459304,0.4998955565727424,0.4998955565719466,0.999791113144689,0.4998955565725157,0.4998955565725157,0.9997911131450314,113.97758552903,113.97758552901615,119.99818544230271,113.97758552902604,113.97758552902604,119.99818544230567,2.9558577807620168e-12,-3.950617610826157e-12,9.890754881780595e-12,-2.060019837841684e-05,-2.0601338644047603e-05
146.21771744567212,0.4998956854149459,0.49989568541449114,0.999791370829437,0.4998956854140013,0.4998956854140013,0.9997913708280026,113.97758776771566,113.97758776770775,119.99818768099132,113.97758776769925,113.97758776769925,119.99818768097887,-1.2448708730516955e-11,-1.6413537196058314e-11,-8.498091119690798e-12,-2.0838941828418846e-05,-2.0839896884101195e-05
147.91083881682107,0.49989581725689025,0.4998958172566629,0.9997916345135531,0.4998958172566595,0.4998958172566595,0.999791634513319,113.97759005852244,113.9775900585185,119.99818997180009,113.97759005851842,113.97759005851842,119.99818997179804,-2.0463630789890885e-12,-4.021671884402167e-12,-8.526512829121202e-14,-2.1081142935988905e-05,-2.1081217708630532e-05
149.6235656094437,0.4998959521701982,0.49989595216985716,0.9997919043400554,0.4998959521703999,0.4998959521703999,0.9997919043407998,113.97759240269478,113.97759240268884,119.99819231597144,113.97759240269828,113.97759240269828,119.9981923159779,6.465938895416912e-12,3.495870259939693e-12,9.43600753089413e-12,-2.132670070643819e-05,-2.1325333114184006e-05
151.3561248436212,0.499896090227402,0.4998960902263788,0.9997921804537808,0.4998960902267604,0.4998960902267604,0.9997921804535208,113.9775948014929,113.97759480147512,119.99819471476363,113.97759480148174,113.97759480148174,119.99819471476137,-2.2595258997171186e-12,-1.1155520951433573e-11,6.622258297284134e-12,-2.157421111889135e-05,-2.157227546814128e-05
153.10874616820337,0.499896231498419,0.4998962314983054,0.9997924629967243,0.4998962314989459,0.4998962314989459,0.9997924629978918,113.97759725613159,113.97759725612963,119.99819716941022,113.97759725614074,113.97759725614074,119.99819716942037,1.014655026665423e-11,9.15179043659009e-12,1.1112888387287967e-11,-2.1824131851711955e-05,-2.1822077512970393e-05
154.8816618912485,0.49989637606169324,0.4998963760618069,0.9997927521235002,0.49989637606186627,0.49989637606186627,0.9997927521237325,113.97759976797383,113.9775997679758,119.99819968125443,113.97759976797684,113.97759976797684,119.99819968125647,2.0321522242738865e-12,3.0127011996228248e-12,1.0373923942097463e-12,-2.2075272255301882e-05,-2.2074772370501716e-05
156.6751070108153,0.4998965239924853,0.49989652399214424,0.9997930479846295,0.49989652399217605,0.49989652399217605,0.9997930479843521,113.97760233832722,113.97760233832129,119.99820225160389,113.97760233832184,113.97760233832184,119.99820225160147,-2.4158453015843406e-12,-5.3717030823463574e-12,5.542233338928781e-13,-2.2330687913579485e-05,-2.233039354640375e-05
158.48931924611176,0.49989667536889804,0.49989667536878435,0.9997933507376824,0.49989667536831656,0.49989667536831656,0.9997933507366331,113.97760496854877,113.9776049685468,119.9982048818274,113.97760496853866,113.97760496853866,119.99820488181828,-9.123368727159686e-12,-1.0118128557223827e-11,-8.142819751810748e-12,-2.2590007452054817e-05,-2.258897493461016e-05
160.3245390690046,0.4998968302699438,0.4998968302701712,0.999793660540115,0.49989683027055537,0.49989683027055537,0.9997936605411107,113.97760766001133,113.97760766001527,119.99820757329292,113.97760766002195,113.97760766002195,119.99820757330157,8.65441052155802e-12,1.0615508472255897e-11,6.679101716144942e-12,-2.2850064509746916e-05,-2.285055082192365e-05
