frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_CM_real_A,I_CM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_CM_phase_deg
1.216186000646367944e+02,4.998939411266785648e-01,4.998939411266785648e-01,9.997878822533571297e-01,1.139775574599489261e+02,1.139775574599489261e+02,1.199981573732285511e+02,4.998939411266556943e-01,-1.512338884783846807e-07,4.998939411266556943e-01,-1.512338884783846807e-07,9.997878822533113885e-01,-3.024677769567693614e-07,-1.733380386574423523e-05,-1.733380386574423523e-05,-1.733380386574423523e-05
1.230268770812381121e+02,4.998940323388674223e-01,4.998940323388674223e-01,9.997880646777348446e-01,1.139775590448029732e+02,1.139775590448029732e+02,1.199981589580825982e+02,4.998940323388439966e-01,-1.529851533728254318e-07,4.998940323388439966e-01,-1.529851533728254318e-07,9.997880646776879932e-01,-3.059703067456508635e-07,-1.753452341772055158e-05,-1.753452341772055158e-05,-1.753452341772055158e-05
1.244514611771385688e+02,4.998941256756956331e-01,4.998941256756956331e-01,9.997882513513912661e-01,1.139775606665733108e+02,1.139775606665733108e+02,1.199981605798529358e+02,4.998941256756716522e-01,-1.547566990324732653e-07,4.998941256756716522e-01,-1.547566990324732653e-07,9.997882513513433045e-01,-3.095133980649465305e-07,-1.773756731778348953e-05,-1.773756731778348953e-05,-1.773756731778348953e-05
1.258925411794167530e+02,4.998942211866539420e-01,4.998942211866539420e-01,9.997884423733078840e-01,1.139775623261198376e+02,1.139775623261198376e+02,1.199981622393994627e+02,4.998942211866294061e-01,-1.565487603701726786e-07,4.998942211866294061e-01,-1.565487603701726786e-07,9.997884423732588122e-01,-3.130975207403453571e-07,-1.794296248499099112e-05,-1.794296248499099112e-05,-1.794296248499099112e-05
1.273503081016661582e+02,4.998943189223862271e-01,4.998943189223862271e-01,9.997886378447724542e-01,1.139775640243225183e+02,1.139775640243225183e+02,1.199981639376021434e+02,4.998943189223611361e-01,-1.583615750220560686e-07,4.998943189223611361e-01,-1.583615750220560686e-07,9.997886378447222722e-01,-3.167231500441121373e-07,-1.815073615032834192e-05,-1.815073615032834192e-05,-1.815073615032834192e-05
1.288249551693133697e+02,4.998944189347159228e-01,4.998944189347159228e-01,9.997888378694318456e-01,1.139775657620817526e+02,1.139775657620817526e+02,1.199981656753613777e+02,4.998944189346902767e-01,-1.601953833778757965e-07,4.998944189346902767e-01,-1.601953833778757965e-07,9.997888378693805533e-01,-3.203907667557515929e-07,-1.836091586017746206e-05,-1.836091586017746206e-05,-1.836091586017746206e-05
1.303166778452300036e+02,4.998945212766732205e-01,4.998945212766732205e-01,9.997890425533464409e-01,1.139775675403189581e+02,1.139775675403189581e+02,1.199981674535985832e+02,4.998945212766470192e-01,-1.620504286145619120e-07,4.998945212766470192e-01,-1.620504286145619120e-07,9.997890425532940384e-01,-3.241008572291238240e-07,-1.857352948015565281e-05,-1.857352948015565281e-05,-1.857352948015565281e-05
1.318256738556407299e+02,4.998946260025246002e-01,4.998946260025246002e-01,9.997892520050492005e-01,1.139775693599770250e+02,1.139775693599770250e+02,1.199981692732566501e+02,4.998946260024977328e-01,-1.639269567270474301e-07,4.998946260024977328e-01,-1.639269567270474301e-07,9.997892520049954657e-01,-3.278539134540948602e-07,-1.878860519864086301e-05,-1.878860519864086301e-05,-1.878860519864086301e-05
1.333521432163323936e+02,4.998947331678001427e-01,4.998947331678001427e-01,9.997894663356002853e-01,1.139775712220207424e+02,1.139775712220207424e+02,1.199981711353003675e+02,4.998947331677726091e-01,-1.658252165617225849e-07,4.998947331677726091e-01,-1.658252165617225849e-07,9.997894663355452183e-01,-3.316504331234451698e-07,-1.900617153059806549e-05,-1.900617153059806549e-05,-1.900617153059806549e-05
1.348962882591653170e+02,4.998948428293230606e-01,4.998948428293230606e-01,9.997896856586461212e-01,1.139775731274374806e+02,1.139775731274374806e+02,1.199981730407171057e+02,4.998948428292949719e-01,-1.677454598500038045e-07,4.998948428292949719e-01,-1.677454598500038045e-07,9.997896856585899439e-01,-3.354909197000076089e-07,-1.922625732141845431e-05,-1.922625732141845431e-05,-1.922625732141845431e-05
1.364583136588923935e+02,4.998949550452410073e-01,4.998949550452410073e-01,9.997899100904820147e-01,1.139775750772374749e+02,1.139775750772374749e+02,1.199981749905171000e+02,4.998949550452122526e-01,-1.696879412406362650e-07,4.998949550452122526e-01,-1.696879412406362650e-07,9.997899100904245051e-01,-3.393758824812725300e-07,-1.944889175061320969e-05,-1.944889175061320969e-05,-1.944889175061320969e-05
1.380384264602885196e+02,4.998950698750556643e-01,4.998950698750556643e-01,9.997901397501113285e-01,1.139775770724546220e+02,1.139775770724546220e+02,1.199981769857342471e+02,4.998950698750262434e-01,-1.716529183351953710e-07,4.998950698750262434e-01,-1.716529183351953710e-07,9.997901397500524867e-01,-3.433058366703907421e-07,-1.967410433587360815e-05,-1.967410433587360815e-05,-1.967410433587360815e-05
1.396368361055937726e+02,4.998951873796551038e-01,4.998951873796551038e-01,9.997903747593102075e-01,1.139775791141468062e+02,1.139775791141468062e+02,1.199981790274264313e+02,4.998951873796250167e-01,-1.736406517211036234e-07,4.998951873796250167e-01,-1.736406517211036234e-07,9.997903747592500334e-01,-3.472813034422072469e-07,-1.990192493684601801e-05,-1.990192493684601801e-05,-1.990192493684601801e-05
1.412537544622753956e+02,4.998953076213456526e-01,4.998953076213456526e-01,9.997906152426913051e-01,1.139775812033966247e+02,1.139775812033966247e+02,1.199981811166762498e+02,4.998953076213147884e-01,-1.756514050067430464e-07,4.998953076213147884e-01,-1.756514050067430464e-07,9.997906152426295767e-01,-3.513028100134860928e-07,-2.013238375914681516e-05,-2.013238375914681516e-05,-2.013238375914681516e-05
1.428893958511102085e+02,4.998954306638846989e-01,4.998954306638846989e-01,9.997908613277693979e-01,1.139775833413118420e+02,1.139775833413118420e+02,1.199981832545914671e+02,4.998954306638531686e-01,-1.776854448559781861e-07,4.998954306638531686e-01,-1.776854448559781861e-07,9.997908613277063372e-01,-3.553708897119563722e-07,-2.036551135830934998e-05,-2.036551135830934998e-05,-2.036551135830934998e-05
1.445439770745927888e+02,4.998955565725157202e-01,4.998955565725157202e-01,9.997911131450314404e-01,1.139775855290260438e+02,1.139775855290260438e+02,1.199981854423056689e+02,4.998955565724834127e-01,-1.797430410254277041e-07,4.998955565724834127e-01,-1.797430410254277041e-07,9.997911131449668254e-01,-3.594860820508554083e-07,-2.060133864404556996e-05,-2.060133864404556996e-05,-2.060133864404556996e-05
1.462177174456718376e+02,4.998956854140013117e-01,4.998956854140013117e-01,9.997913708280026235e-01,1.139775877676992479e+02,1.139775877676992479e+02,1.199981876809788730e+02,4.998956854139682271e-01,-1.818244663982972824e-07,4.998956854139682271e-01,-1.818244663982972824e-07,9.997913708279364542e-01,-3.636489327965945647e-07,-2.083989688411327400e-05,-2.083989688411327400e-05,-2.083989688411327400e-05
1.479108388168207284e+02,4.998958172566594915e-01,4.998958172566594915e-01,9.997916345133189830e-01,1.139775900585184161e+02,1.139775900585184161e+02,1.199981899717980411e+02,4.998958172566256297e-01,-1.839299970220448487e-07,4.998958172566256297e-01,-1.839299970220448487e-07,9.997916345132512594e-01,-3.678599940440896973e-07,-2.108121770862210264e-05,-2.108121770862210264e-05,-2.108121770862210264e-05
1.496235656094432898e+02,4.998959521703999487e-01,4.998959521703999487e-01,9.997919043407998974e-01,1.139775924026982779e+02,1.139775924026982779e+02,1.199981923159779029e+02,4.998959521703653097e-01,-1.860599121446845150e-07,4.998959521703653097e-01,-1.860599121446845150e-07,9.997919043407306194e-01,-3.721198242893690299e-07,-2.132533311418317282e-05,-2.132533311418317282e-05,-2.132533311418317282e-05
1.513561248436208757e+02,4.998960902267603479e-01,4.998960902267603479e-01,9.997921804535206958e-01,1.139775948014817430e+02,1.139775948014817430e+02,1.199981947147613681e+02,4.998960902267249318e-01,-1.882144942519405922e-07,4.998960902267249318e-01,-1.882144942519405922e-07,9.997921804534498635e-01,-3.764289885038811843e-07,-2.157227546815580288e-05,-2.157227546815580288e-05,-2.157227546815580288e-05
1.531087461682030266e+02,4.998962314989459088e-01,4.998962314989459088e-01,9.997924629978918176e-01,1.139775972561407400e+02,1.139775972561407400e+02,1.199981971694203651e+02,4.998962314989097155e-01,-1.903940291049250186e-07,4.998962314989097155e-01,-1.903940291049250186e-07,9.997924629978194311e-01,-3.807880582098500372e-07,-2.182207751295366210e-05,-2.182207751295366210e-05,-2.182207751295366210e-05
1.548816618912481147e+02,4.998963760618660990e-01,4.998963760618660990e-01,9.997927521237321979e-01,1.139775997679768409e+02,1.139775997679768409e+02,1.199981996812564660e+02,4.998963760618290175e-01,-1.925988057791825347e-07,4.998963760618290175e-01,-1.925988057791825347e-07,9.997927521236580350e-01,-3.851976115583650695e-07,-2.207477237050744167e-05,-2.207477237050744167e-05,-2.207477237050744167e-05
1.566751070108148554e+02,4.998965239921761006e-01,4.998965239921761006e-01,9.997930479843522011e-01,1.139776023383218444e+02,1.139776023383218444e+02,1.199982022516014695e+02,4.998965239921381309e-01,-1.948291167008078506e-07,4.998965239921381309e-01,-1.948291167008078506e-07,9.997930479842762619e-01,-3.896582334016157013e-07,-2.233039354639134171e-05,-2.233039354639134171e-05,-2.233039354639134171e-05
