frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
1.188502227437018917e+02,9.877954674578715011e-01,9.877954674578715011e-01,9.877954674578715011e-01,1.198933405810225992e+02,1.198933405810225992e+02,1.198933405810225992e+02,-3.228832158677029662e-01
1.202264434617413116e+02,9.877992495360727876e-01,9.877992495360727876e-01,9.877992495360727876e-01,1.198933738375539946e+02,1.198933738375539946e+02,1.198933738375539946e+02,-3.266237472387439333e-01
1.216186000646367944e+02,9.878031197300601862e-01,9.878031197300601862e-01,9.878031197300601862e-01,1.198934078687723854e+02,1.198934078687723854e+02,1.198934078687723854e+02,-3.304076523740169247e-01
1.230268770812381121e+02,9.878070800932501339e-01,9.878070800932501339e-01,9.878070800932501339e-01,1.198934426927246193e+02,1.198934426927246193e+02,1.198934426927246193e+02,-3.342354356430773943e-01
1.244514611771385688e+02,9.878111327269342157e-01,9.878111327269342157e-01,9.878111327269342157e-01,1.198934783278778866e+02,1.198934783278778866e+02,1.198934783278778866e+02,-3.381076073304480345e-01
1.258925411794167530e+02,9.878152797813943842e-01,9.878152797813943842e-01,9.878152797813943842e-01,1.198935147931297536e+02,1.198935147931297536e+02,1.198935147931297536e+02,-3.420246837068948165e-01
1.273503081016661582e+02,9.878195234570488203e-01,9.878195234570488203e-01,9.878195234570488203e-01,1.198935521078180102e+02,1.198935521078180102e+02,1.198935521078180102e+02,-3.459871871012896727e-01
1.288249551693133697e+02,9.878238660056199993e-01,9.878238660056199993e-01,9.878238660056199993e-01,1.198935902917310017e+02,1.198935902917310017e+02,1.198935902917310017e+02,-3.499956459737418313e-01
1.303166778452300036e+02,9.878283097313325101e-01,9.878283097313325101e-01,9.878283097313325101e-01,1.198936293651181018e+02,1.198936293651181018e+02,1.198936293651181018e+02,-3.540505949893614224e-01
1.318256738556407299e+02,9.878328569921395186e-01,9.878328569921395186e-01,9.878328569921395186e-01,1.198936693487004987e+02,1.198936693487004987e+02,1.198936693487004987e+02,-3.581525750932456065e-01
1.333521432163323936e+02,9.878375102009755437e-01,9.878375102009755437e-01,9.878375102009755437e-01,1.198937102636821663e+02,1.198937102636821663e+02,1.198937102636821663e+02,-3.623021335862643966e-01
1.348962882591653170e+02,9.878422718270416514e-01,9.878422718270416514e-01,9.878422718270416514e-01,1.198937521317610617e+02,1.198937521317610617e+02,1.198937521317610617e+02,-3.664998242018792096e-01
1.364583136588923935e+02,9.878471443971157395e-01,9.878471443971157395e-01,9.878471443971157395e-01,1.198937949751407785e+02,1.198937949751407785e+02,1.198937949751407785e+02,-3.707462071839843221e-01
1.380384264602885196e+02,9.878521304969011263e-01,9.878521304969011263e-01,9.878521304969011263e-01,1.198938388165421429e+02,1.198938388165421429e+02,1.198938388165421429e+02,-3.750418493658244645e-01
1.396368361055937726e+02,9.878572327723977864e-01,9.878572327723977864e-01,9.878572327723977864e-01,1.198938836792154774e+02,1.198938836792154774e+02,1.198938836792154774e+02,-3.793873242497601828e-01
1.412537544622753956e+02,9.878624539313137776e-01,9.878624539313137776e-01,9.878624539313137776e-01,1.198939295869527086e+02,1.198939295869527086e+02,1.198939295869527086e+02,-3.837832120883444831e-01
