frequency_Hz,gain_Rs0_dB,gain_Rs50_dB,abs_H_Rs0,abs_H_Rs50
1.566751070108148554e+02,-1.055223325545657509e-01,-8.855596574165554458e+00,9.879247901162636625e-01,3.607614894449250320e-01
1.584893192461114211e+02,-1.054625880305434943e-01,-8.857069124353746048e+00,9.879315854247243678e-01,3.607003334330035615e-01
1.603245390690041745e+02,-1.054014517478592261e-01,-8.858575423623694434e+00,9.879385390794167554e-01,3.606377865249705272e-01
1.621810097358929852e+02,-1.053388912821684453e-01,-8.860116232536906722e+00,9.879456547716756187e-01,3.605738178751393685e-01
1.640589773199538683e+02,-1.052748734535716990e-01,-8.861692328195326596e+00,9.879529362789590818e-01,3.605083959902850022e-01
1.659586907437561365e+02,-1.052093643090210862e-01,-8.863304504573223497e+00,9.879603874668591024e-01,3.604414887177505022e-01
1.678804018122560535e+02,-1.051423291042749425e-01,-8.864953572854478381e+00,9.879680122911638218e-01,3.603730632334161132e-01
1.698243652461744375e+02,-1.050737322854623651e-01,-8.866640361775250057e+00,9.879758147999647688e-01,3.603030860295328708e-01
1.717908387157587526e+02,-1.050035374702197877e-01,-8.868365717972007900e+00,9.879837991358132454e-01,3.602315229024259380e-01
1.737800828749376194e+02,-1.049317074283569184e-01,-8.870130506335019760e+00,9.879919695379307809e-01,3.601583389400678792e-01
1.757923613958693068e+02,-1.048582040621046374e-01,-8.871935610367232883e+00,9.880003303444676588e-01,3.600834985095279217e-01
1.778279410038922776e+02,-1.047829883858802241e-01,-8.873781932548613582e+00,9.880088859948169544e-01,3.600069652442998702e-01
1.798870915128787260e+02,-1.047060205056009052e-01,-8.875670394705895916e+00,9.880176410319805314e-01,3.599287020315130592e-01
1.819700858609982674e+02,-1.046272595974954978e-01,-8.877601938387783775e+00,9.880266001049927693e-01,3.598486709990313392e-01
1.840772001468956205e+02,-1.045466638864153558e-01,-8.879577525245554881e+00,9.880357679714019126e-01,3.597668335024448161e-01
1.862087136662867408e+02,-1.044641906236828260e-01,-8.881598137419086214e+00,9.880451494998047091e-01,3.596831501119598928e-01
1.883649089489800019e+02,-1.043797960643576134e-01,-8.883664777928279577e+00,9.880547496724479961e-01,3.595975805991927232e-01
