frequency_Hz,FR_gain_Rs0_dB,FR_gain_Rs50_dB,CM_I_HOT_dBuA,CM_I_RTN_dBuA,CM_I_CM_dBuA,NM_I_HOT_dBuA,NM_I_RTN_dBuA,NM_I_NM_dBuA,CM_I_CM_abs_A,NM_I_NM_abs_A
1.412537544622753956e+02,-1.060024016439035932e-01,-8.843744614733891396e+00,1.139775812033966247e+02,1.139775812033966247e+02,1.199981811166762498e+02,1.198939295869527086e+02,1.198939295869527086e+02,1.198939295869527086e+02,9.997906152426913051e-01,9.878624539313137776e-01
1.428893958511102085e+02,-1.059538403009465113e-01,-8.844945076777177562e+00,1.139775833413118420e+02,1.139775833413118420e+02,1.199981832545914671e+02,1.198939765641002282e+02,1.198939765641002282e+02,1.198939765641002282e+02,9.997908613277693979e-01,9.878677967445036456e-01
1.445439770745927888e+02,-1.059041477331500170e-01,-8.846173135014620215e+00,1.139775855290260438e+02,1.139775855290260438e+02,1.199981854423056689e+02,1.198940246355716397e+02,1.198940246355716397e+02,1.198940246355716397e+02,9.997911131450314404e-01,9.878732640474431337e-01
1.462177174456718376e+02,-1.058532975868598514e-01,-8.847429415211427894e+00,1.139775877676992479e+02,1.139775877676992479e+02,1.199981876809788730e+02,1.198940738268610318e+02,1.198940738268610318e+02,1.198940738268610318e+02,9.997913708280026235e-01,9.878788587417408618e-01
1.479108388168207284e+02,-1.058012628943729022e-01,-8.848714556921811081e+00,1.139775900585184161e+02,1.139775900585184161e+02,1.199981899717980411e+02,1.198941241640565636e+02,1.198941241640565636e+02,1.198941241640565636e+02,9.997916345133189830e-01,9.878845837966789833e-01
1.496235656094432898e+02,-1.057480160596335900e-01,-8.850029213774197601e+00,1.139775924026982779e+02,1.139775924026982779e+02,1.199981923159779029e+02,1.198941756738542210e+02,1.198941756738542210e+02,1.198941756738542210e+02,9.997919043407998974e-01,9.878904422507945871e-01
1.513561248436208757e+02,-1.056935288435725817e-01,-8.851374053761471572e+00,1.139775948014817430e+02,1.139775948014817430e+02,1.199981947147613681e+02,1.198942283835720559e+02,1.198942283835720559e+02,1.198942283835720559e+02,9.997921804535206958e-01,9.878964372135011773e-01
1.531087461682030266e+02,-1.056377723491292442e-01,-8.852749759536273189e+00,1.139775972561407400e+02,1.139775972561407400e+02,1.199981971694203651e+02,1.198942823211646385e+02,1.198942823211646385e+02,1.198942823211646385e+02,9.997924629978918176e-01,9.879025718667380218e-01
1.548816618912481147e+02,-1.055807170059293448e-01,-8.854157028711439281e+00,1.139775997679768409e+02,1.139775997679768409e+02,1.199981996812564660e+02,1.198943375152379076e+02,1.198943375152379076e+02,1.198943375152379076e+02,9.997927521237321979e-01,9.879088494666675713e-01
1.566751070108148554e+02,-1.055223325545657509e-01,-8.855596574165554458e+00,1.139776023383218444e+02,1.139776023383218444e+02,1.199982022516014695e+02,1.198943939950643767e+02,1.198943939950643767e+02,1.198943939950643767e+02,9.997930479843522011e-01,9.879152733454096280e-01
1.584893192461114211e+02,-1.054625880305434943e-01,-8.857069124353746048e+00,1.139776049685386567e+02,1.139776049685386567e+02,1.199982048818182818e+02,1.198944517905986800e+02,1.198944517905986800e+02,1.198944517905986800e+02,9.997933507366330019e-01,9.879218469128160374e-01
1.603245390690041745e+02,-1.054014517478592261e-01,-8.858575423623694434e+00,1.139776076600219454e+02,1.139776076600219454e+02,1.199982075733015705e+02,1.198945109324933611e+02,1.198945109324933611e+02,1.198945109324933611e+02,9.997936605411107402e-01,9.879285736582840149e-01
1.621810097358929852e+02,-1.053388912821684453e-01,-8.860116232536906722e+00,1.139776104141987787e+02,1.139776104141987787e+02,1.199982103274784038e+02,1.198945714521153292e+02,1.198945714521153292e+02,1.198945714521153292e+02,9.997939775620604541e-01,9.879354571526168804e-01
1.640589773199538683e+02,-1.052748734535716990e-01,-8.861692328195326596e+00,1.139776132325295634e+02,1.139776132325295634e+02,1.199982131458091885e+02,1.198946333815623575e+02,1.198946333815623575e+02,1.198946333815623575e+02,9.997943019675858967e-01,9.879425010499277571e-01
1.659586907437561365e+02,-1.052093643090210862e-01,-8.863304504573223497e+00,1.139776161165086421e+02,1.139776161165086421e+02,1.199982160297882672e+02,1.198946967536801509e+02,1.198946967536801509e+02,1.198946967536801509e+02,9.997946339297049123e-01,9.879497090895825728e-01
1.678804018122560535e+02,-1.051423291042749425e-01,-8.864953572854478381e+00,1.139776190676652163e+02,1.139776190676652163e+02,1.199982189809448414e+02,1.198947616020798534e+02,1.198947616020798534e+02,1.198947616020798534e+02,9.997949736244432506e-01,9.879570850981959085e-01
1.698243652461744375e+02,-1.050737322854623651e-01,-8.866640361775250057e+00,1.139776220875641144e+02,1.139776220875641144e+02,1.199982220008437395e+02,1.198948279611558121e+02,1.198948279611558121e+02,1.198948279611558121e+02,9.997953212319286020e-01,9.879646329916667025e-01
1.717908387157587526e+02,-1.050035374702197877e-01,-8.868365717972007900e+00,1.139776251778065586e+02,1.139776251778065586e+02,1.199982250910861836e+02,1.198948958661038944e+02,1.198948958661038944e+02,1.198948958661038944e+02,9.997956769364827467e-01,9.879723567772706883e-01
1.737800828749376194e+02,-1.049317074283569184e-01,-8.870130506335019760e+00,1.139776283400311598e+02,1.139776283400311598e+02,1.199982282533107849e+02,1.198949653529400905e+02,1.198949653529400905e+02,1.198949653529400905e+02,9.997960409267233617e-01,9.879802605557893580e-01
