frequency_Hz,FR_gain_Rs0_dB,FR_gain_Rs50_dB,CM_I_HOT_dBuA,CM_I_RTN_dBuA,CM_I_CM_dBuA,NM_I_HOT_dBuA,NM_I_RTN_dBuA,NM_I_NM_dBuA,CM_I_CM_abs_A,NM_I_NM_abs_A
9.772372209558111535e+02,-8.135610186839184466e-03,-1.073592445779830307e+01,1.139818835296578214e+02,1.139818835296578214e+02,1.200024834429374465e+02,1.199886085621133844e+02,1.199886085621133844e+02,1.199886085621133844e+02,1.000285957812495852e+00,9.986893718709527468e-01
9.885530946569390380e+02,-5.803327298363760399e-03,-1.077157711318500688e+01,1.139819859082275570e+02,1.139819859082275570e+02,1.200025858215071821e+02,1.199908649924887385e+02,1.199908649924887385e+02,1.199908649924887385e+02,1.000297748020922972e+00,9.989488462435732741e-01
1.000000000000000000e+03,-3.416526295165890452e-03,-1.080772728377035818e+01,1.139820906727552199e+02,1.139820906727552199e+02,1.200026905860348450e+02,1.199931741734612132e+02,1.199931741734612132e+02,1.199931741734612132e+02,1.000309813146944338e+00,9.992144563792885181e-01
1.011579454259898284e+03,-9.739283410524940702e-04,-1.084437692246029705e+01,1.139821978788760930e+02,1.139821978788760930e+02,1.200027977921557181e+02,1.199955373426639227e+02,1.199955373426639227e+02,1.199955373426639227e+02,1.000322159607814898e+00,9.994863495507225748e-01
1.023292992280753651e+03,1.525775601205080342e-03,-1.088152783701037407e+01,1.139823075835241326e+02,1.139823075835241326e+02,1.200029074968037577e+02,1.199979557669696959e+02,1.199979557669696959e+02,1.199979557669696959e+02,1.000334793970908409e+00,9.997646766677704688e-01
1.035142166679344200e+03,4.083925492164822320e-03,-1.091918168663934097e+01,1.139824198449623935e+02,1.139824198449623935e+02,1.200030197582420186e+02,1.200004307431910178e+02,1.200004307431910178e+02,1.200004307431910178e+02,1.000347722957243279e+00,1.000049592372188600e+00
1.047128548050899553e+03,6.701892955699955898e-03,-1.095733997872758536e+01,1.139825347228141226e+02,1.139825347228141226e+02,1.200031346360937476e+02,1.200029635987969527e+02,1.200029635987969527e+02,1.200029635987969527e+02,1.000360953445094792e+00,1.000341255134863605e+00
1.059253725177288743e+03,9.381082037073435256e-03,-1.099600406560572097e+01,1.139826522780945766e+02,1.139826522780945766e+02,1.200032521913742016e+02,1.200055556926476896e+02,1.200055556926476896e+02,1.200055556926476896e+02,1.000374492473693033e+00,1.000639827355844336e+00
1.071519305237607114e+03,1.212292997958132681e-02,-1.103517514143802103e+01,1.139827725732435226e+02,1.139827725732435226e+02,1.200033724865231477e+02,1.200082084157471343e+02,1.200082084157471343e+02,1.200082084157471343e+02,1.000388347247000542e+00,1.000945475467222456e+00
1.083926914021203856e+03,1.492890802025787118e-02,-1.107485423920565282e+01,1.139828956721587616e+02,1.139828956721587616e+02,1.200034955854383725e+02,1.200109231920139337e+02,1.200109231920139337e+02,1.200109231920139337e+02,1.000402525137594534e+00,1.001258370038956791e+00
1.096478196143185187e+03,1.780052220509852068e-02,-1.111504222779417184e+01,1.139830216402300493e+02,1.139830216402300493e+02,1.200036215535096744e+02,1.200137014790715568e+02,1.200137014790715568e+02,1.200137014790715568e+02,1.000417033690623070e+00,1.001578685887732689e+00
1.109174815262400898e+03,2.073931422428238955e-02,-1.115573980918949459e+01,1.139831505443741975e+02,1.139831505443741975e+02,1.200037504576538225e+02,1.200165447690576173e+02,1.200165447690576173e+02,1.200165447690576173e+02,1.000431880627875358e+00,1.001906602188957107e+00
1.122018454301962947e+03,2.374686226796527549e-02,-1.119694751578667180e+01,1.139832824530707001e+02,1.139832824530707001e+02,1.200038823663503251e+02,1.200194545894532325e+02,1.200194545894532325e+02,1.200194545894532325e+02,1.000447073851927327e+00,1.002242302591993317e+00
1.135010815672314266e+03,2.682478190309689481e-02,-1.123866570781501650e+01,1.139834174363983550e+02,1.139834174363983550e+02,1.200040173496779801e+02,1.200224325039329045e+02,1.200224325039329045e+02,1.200224325039329045e+02,1.000462621450405765e+00,1.002585975338734947e+00
1.148153621496882806e+03,2.997472697184576373e-02,-1.128089457088329262e+01,1.139835555660727948e+02,1.139835555660727948e+02,1.200041554793524199e+02,1.200254801132351474e+02,1.200254801132351474e+02,1.200254801132351474e+02,1.000478531700337737e+00,1.002937813385635257e+00
1.161448613840342659e+03,3.319839051215157932e-02,-1.132363411364818440e+01,1.139836969154846997e+02,1.139836969154846997e+02,1.200042968287643248e+02,1.200285990560548441e+02,1.200285990560548441e+02,1.200285990560548441e+02,1.000494813072614342e+00,1.003298014529305782e+00
1.174897554939530210e+03,3.649750570101347596e-02,-1.136688416560899917e+01,1.139838415597391190e+02,1.139838415597391190e+02,1.200044414730187441e+02,1.200317910099574021e+02,1.200317910099574021e+02,1.200317910099574021e+02,1.000511474236556397e+00,1.003666781535792696e+00
1.188502227437018973e+03,3.987384682103350259e-02,-1.141064437503117901e+01,1.139839895756955599e+02,1.139839895756955599e+02,1.200045894889751850e+02,1.200350576923157462e+02,1.200350576923157462e+02,1.200350576923157462e+02,1.000528524064587366e+00,1.004044322273669909e+00
1.202264434617413144e+03,4.332923025086887758e-02,-1.145491420700104968e+01,1.139841410420092274e+02,1.139841410420092274e+02,1.200047409552888524e+02,1.200384008612703326e+02,1.200384008612703326e+02,1.200384008612703326e+02,1.000545971637020193e+00,1.004430849851061902e+00
1.216186000646367802e+03,4.686551548018699775e-02,-1.149969294161369682e+01,1.139842960391729321e+02,1.139842960391729321e+02,1.200048959524525571e+02,1.200418223167130236e+02,1.200418223167130236e+02,1.200418223167130236e+02,1.000563826246959831e+00,1.004826582756735753e+00
1.230268770812381035e+03,5.048460614970270988e-02,-1.154497967229554334e+01,1.139844546495602771e+02,1.139844546495602771e+02,1.200050545628399021e+02,1.200453239012953759e+02,1.200453239012953759e+02,1.200453239012953759e+02,1.000582097405316784e+00,1.005231745005398913e+00
1.244514611771384352e+03,5.418845111705302559e-02,-1.159077330426298502e+01,1.139846169574697257e+02,1.139846169574697257e+02,1.200052168707493507e+02,1.200489075014618692e+02,1.200489075014618692e+02,1.200489075014618692e+02,1.000600794845944996e+00,1.005646566287340393e+00
1.258925411794167530e+03,5.797904554903307583e-02,-1.163707255311792466e+01,1.139847830491696357e+02,1.139847830491696357e+02,1.200053829624492607e+02,1.200525750485088707e+02,1.200525750485088707e+02,1.200525750485088707e+02,1.000619928530904534e+00,1.006071282122572796e+00
1.273503081016661554e+03,6.185843204098587234e-02,-1.168387594358069315e+01,1.139849530129446009e+02,1.139849530129446009e+02,1.200055529262242260e+02,1.200563285196699326e+02,1.200563285196699326e+02,1.200563285196699326e+02,1.000639508655841725e+00,1.006506134019621079e+00
1.288249551693134890e+03,6.582870176398954165e-02,-1.173118180836057078e+01,1.139851269391425745e+02,1.139851269391425745e+02,1.200057268524221996e+02,1.200601699392279897e+02,1.200601699392279897e+02,1.200601699392279897e+02,1.000659545655506744e+00,1.006951369639119243e+00
1.303166778452299923e+03,6.989199564053767688e-02,-1.177898828716358715e+01,1.139853049202233990e+02,1.139853049202233990e+02,1.200059048335030241e+02,1.200641013796553835e+02,1.200641013796553835e+02,1.200641013796553835e+02,1.000680050209397765e+00,1.007407242962384597e+00
1.318256738556407527e+03,7.405050554952230524e-02,-1.182729332583701165e+01,1.139854870508082456e+02,1.139854870508082456e+02,1.200060869640878423e+02,1.200681249627822211e+02,1.200681249627822211e+02,1.200681249627822211e+02,1.000701033247541227e+00,1.007874014465138579e+00
1.333521432163324107e+03,7.830647556116178409e-02,-1.187609467564954890e+01,1.139856734277303190e+02,1.139856734277303190e+02,1.200062733410099440e+02,1.200722428609939243e+02,1.200722428609939243e+02,1.200722428609939243e+02,1.000722505956414654e+00,1.008351951296553750e+00
1.348962882591653170e+03,8.266220320276543299e-02,-1.192538989270575378e+01,1.139858641500868686e+02,1.139858641500868686e+02,1.200064640633664936e+02,1.200764572984585925e+02,1.200764572984585925e+02,1.200764572984585925e+02,1.000744479785002694e+00,1.008841327463817938e+00
1.364583136588923935e+03,8.712004075601439967e-02,-1.197517633749299293e+01,1.139860593192922522e+02,1.139860593192922522e+02,1.200066592325718773e+02,1.200807705523851610e+02,1.200807705523851610e+02,1.200807705523851610e+02,1.000766966451008377e+00,1.009342424022402041e+00
1.380384264602885196e+03,9.168239658664473213e-02,-1.202545117455872870e+01,1.139862590391322925e+02,1.139862590391322925e+02,1.200068589524119176e+02,1.200851849543128793e+02,1.200851849543128793e+02,1.200851849543128793e+02,1.000789977947205145e+00,1.009855529272240426e+00
1.396368361055937612e+03,9.635173650736338080e-02,-1.207621137231557107e+01,1.139864634158199976e+02,1.139864634158199976e+02,1.200070633290996227e+02,1.200897028914331486e+02,1.200897028914331486e+02,1.200897028914331486e+02,1.000813526547946308e+00,1.010380938960026675e+00
1.412537544622755377e+03,1.011305851747882623e-01,-1.212745370297128744e+01,1.139866725580525753e+02,1.139866725580525753e+02,1.200072724713322003e+02,1.200943268079444124e+02,1.200943268079444124e+02,1.200943268079444124e+02,1.000837624815829940e+00,1.010918956487852238e+00
1.428893958511103619e+03,1.060215275213430147e-01,-1.217917474258038268e+01,1.139868865770697113e+02,1.139868865770697113e+02,1.200074864903493363e+02,1.200990592064410407e+02,1.200990592064410407e+02,1.200990592064410407e+02,1.000862285608522306e+00,1.011469893128401409e+00
1.445439770745927945e+03,1.110272102230139973e-01,-1.223137087121373767e+01,1.139871055867133975e+02,1.139871055867133975e+02,1.200077054999930226e+02,1.201039026493369306e+02,1.201039026493369306e+02,1.201039026493369306e+02,1.000887522085748049e+00,1.012034068246953078e+00
1.462177174456718376e+03,1.161503432038157035e-01,-1.228403827324226150e+01,1.139873297034888964e+02,1.139873297034888964e+02,1.200079296167685214e+02,1.201088597603249610e+02,1.201088597603249610e+02,1.201088597603249610e+02,1.000913347716445578e+00,1.012611809530425067e+00
1.479108388168207284e+03,1.213937011780097941e-01,-1.233717293773029589e+01,1.139875590466275810e+02,1.139875590466275810e+02,1.200081589599072061e+02,1.201139332258729837e+02,1.201139332258729837e+02,1.201139332258729837e+02,1.000939776286098981e+00,1.013203453223721295e+00
1.496235656094432898e+03,1.267601252309303039e-01,-1.239077065893417107e+01,1.139877937381507564e+02,1.139877937381507564e+02,1.200083936514303815e+02,1.201191257967574870e+02,1.201191257967574870e+02,1.201191257967574870e+02,1.000966821904240689e+00,1.013809344373644006e+00
1.513561248436207279e+03,1.322525244395026944e-01,-1.244482703690090020e+01,1.139880339029353991e+02,1.139880339029353991e+02,1.200086338162150241e+02,1.201244402896355723e+02,1.201244402896355723e+02,1.201244402896355723e+02,1.000994499012143324e+00,1.014429837080653929e+00
1.531087461682030380e+03,1.378738775334034383e-01,-1.249933747816191953e+01,1.139882796687813169e+02,1.139882796687813169e+02,1.200088795820609278e+02,1.201298795886567916e+02,1.201298795886567916e+02,1.201298795886567916e+02,1.001022822390690736e+00,1.015065294758762837e+00
1.548816618912481090e+03,1.436272345979260900e-01,-1.255429719651617937e+01,1.139885311664797598e+02,1.139885311664797598e+02,1.200091310797593849e+02,1.201354466471151881e+02,1.201354466471151881e+02,1.201354466471151881e+02,1.001051807168440000e+00,1.015716090403854910e+00
1.566751070108150088e+03,1.495157188195920528e-01,-1.260970121389703635e+01,1.139887885298839620e+02,1.139887885298839620e+02,1.200093884431635871e+02,1.201411444891431159e+02,1.201411444891431159e+02,1.201411444891431159e+02,1.001081468829882803e+00,1.016382606870762206e+00
1.584893192461114040e+03,1.555425282756199290e-01,-1.266554436131667849e+01,1.139890518959810919e+02,1.139890518959810919e+02,1.200096518092607170e+02,1.201469762114475515e+02,1.201469762114475515e+02,1.201469762114475515e+02,1.001111823223902242e+00,1.017065237159402669e+00
1.603245390690041859e+03,1.617109377683486615e-01,-1.272182127988200762e+01,1.139893214049659917e+02,1.139893214049659917e+02,1.200099213182456168e+02,1.201529449850901443e+02,1.201529449850901443e+02,1.201529449850901443e+02,1.001142886572436552e+00,1.017764384710335257e+00
1.621810097358929852e+03,1.680243007057116711e-01,-1.277852642187538201e+01,1.139895972003167799e+02,1.139895972003167799e+02,1.200101971135964050e+02,1.201590540573121046e+02,1.201590540573121046e+02,1.201590540573121046e+02,1.001174675479353127e+00,1.018480463710077721e+00
1.640589773199538740e+03,1.744860510289935052e-01,-1.283565405189357911e+01,1.139898794288721007e+02,1.139898794288721007e+02,1.200104793421517257e+02,1.201653067534049200e+02,1.201653067534049200e+02,1.201653067534049200e+02,1.001207206939535244e+00,1.019213899406553159e+00
1.659586907437559603e+03,1.810997051889804144e-01,-1.289319824803807180e+01,1.139901682409102932e+02,1.139901682409102932e+02,1.200107681541899183e+02,1.201717064786282521e+02,1.201717064786282521e+02,1.201717064786282521e+02,1.001240498348197949e+00,1.019965128435057711e+00
1.678804018122560592e+03,1.878688641717509711e-01,-1.295115290314962309e+01,1.139904637902304074e+02,1.139904637902304074e+02,1.200110637035100325e+02,1.201782567201760230e+02,1.201782567201760230e+02,1.201782567201760230e+02,1.001274567510416436e+00,1.020734599155137978e+00
1.698243652461744205e+03,1.947972155753437407e-01,-1.300951172607992490e+01,1.139907662342352381e+02,1.139907662342352381e+02,1.200113661475148632e+02,1.201849610491918838e+02,1.201849610491918838e+02,1.201849610491918838e+02,1.001309432650901110e+00,1.021522771998799373e+00
1.717908387157589459e+03,2.018885357385196977e-01,-1.306826824299306367e+01,1.139910757340161496e+02,1.139910757340161496e+02,1.200116756472957746e+02,1.201918231228355864e+02,1.201918231228355864e+02,1.201918231228355864e+02,1.001345112423999817e+00,1.022330119830485939e+00
1.737800828749376251e+03,2.091466919229262034e-01,-1.312741579868923125e+01,1.139913924544402022e+02,1.139913924544402022e+02,1.200119923677198273e+02,1.201988466864008984e+02,1.201988466864008984e+02,1.201988466864008984e+02,1.001381625923951191e+00,1.023157128319270193e+00
1.757923613958693068e+03,2.165756445499754379e-01,-1.318694755794325424e+01,1.139917165642390842e+02,1.139917165642390842e+02,1.200123164775187092e+02,1.202060355754871779e+02,1.202060355754871779e+02,1.202060355754871779e+02,1.001418992695385146e+00,1.024004296323735241e+00
1.778279410038922833e+03,2.241794494937262572e-01,-1.324685650685024285e+01,1.139920482361003167e+02,1.139920482361003167e+02,1.200126481493799417e+02,1.202133937182248928e+02,1.202133937182248928e+02,1.202133937182248928e+02,1.001457232744079384e+00,1.024872136290031044e+00
1.798870915128787374e+03,2.319622604311454284e-01,-1.330713545417065902e+01,1.139923876467606192e+02,1.139923876467606192e+02,1.200129875600402443e+02,1.202209251375573018e+02,1.202209251375573018e+02,1.202209251375573018e+02,1.001496366547981021e+00,1.025761174663629705e+00
1.819700858609982561e+03,2.399283312510980815e-01,-1.336777703266706396e+01,1.139927349771014917e+02,1.139927349771014917e+02,1.200133348903811168e+02,1.202286339535790916e+02,1.202286339535790916e+02,1.202286339535790916e+02,1.001536415068498220e+00,1.026671952315296954e+00
1.840772001468956432e+03,2.480820185234860475e-01,-1.342877370042479157e+01,1.139930904122471276e+02,1.139930904122471276e+02,1.200136903255267384e+02,1.202365243859335209e+02,1.202365243859335209e+02,1.202365243859335209e+02,1.001577399762066500e+00,1.027605024981848691e+00
1.862087136662867579e+03,2.564277840298546107e-01,-1.349011774214864801e+01,1.139934541416644862e+02,1.139934541416644862e+02,1.200140540549441113e+02,1.202446007562692216e+02,1.202446007562692216e+02,1.202446007562692216e+02,1.001619342592003248e+00,1.028560963722265242e+00
1.883649089489802009e+03,2.649701973570131042e-01,-1.355180127042792648e+01,1.139938263592661087e+02,1.139938263592661087e+02,1.200144262725457338e+02,1.202528674907584900e+02,1.202528674907584900e+02,1.202528674907584900e+02,1.001662266040645788e+00,1.029540355389771955e+00
1.905460717963248271e+03,2.737139385550025339e-01,-1.361381622696177196e+01,1.139942072635149941e+02,1.139942072635149941e+02,1.200148071767946192e+02,1.202613291226778074e+02,1.202613291226778074e+02,1.202613291226778074e+02,1.001706193121800981e+00,1.030543803120510526e+00
1.927524913190936559e+03,2.826638008609023145e-01,-1.367615438373727699e+01,1.139945970575323599e+02,1.139945970575323599e+02,1.200151969708119850e+02,1.202699902950526507e+02,1.202699902950526507e+02,1.202699902950526507e+02,1.001751147393487251e+00,1.031571926839462083e+00
1.949844599758045433e+03,2.918246934899131895e-01,-1.373880734415237370e+01,1.139949959492077056e+02,1.139949959492077056e+02,1.200155958624873307e+02,1.202788557633675879e+02,1.202788557633675879e+02,1.202788557633675879e+02,1.001797152971000582e+00,1.032625363784302586e+00
1.972422736114853478e+03,3.012016444952129168e-01,-1.380176654407584635e+01,1.139954041513116891e+02,1.139954041513116891e+02,1.200160040645913142e+02,1.202879303983431782e+02,1.202879303983431782e+02,1.202879303983431782e+02,1.001844234540299805e+00,1.033704769047909755e+00
1.995262314968878854e+03,3.107998036980142431e-01,-1.386502325283681358e+01,1.139958218816116187e+02,1.139958218816116187e+02,1.200164217948912437e+02,1.202972191887810425e+02,1.202972191887810425e+02,1.202972191887810425e+02,1.001892417371725408e+00,1.034810816140250278e+00
2.018366363681559733e+03,3.206244456893287409e-01,-1.392856857413599769e+01,1.139962493629898006e+02,1.139962493629898006e+02,1.200168492762694257e+02,1.203067272444789069e+02,1.203067272444789069e+02,1.203067272444789069e+02,1.001941727334052734e+00,1.035944197570441094e+00
2.041737944669529497e+03,3.306809729048495461e-01,-1.399239344687121012e+01,1.139966868235647013e+02,1.139966868235647013e+02,1.200172867368443264e+02,1.203164597992163181e+02,1.203164597992163181e+02,1.203164597992163181e+02,1.001992190908900238e+00,1.037105625449775026e+00
2.065380155810529232e+03,3.409749187744936516e-01,-1.405648864586958169e+01,1.139971344968149367e+02,1.139971344968149367e+02,1.200177344100945618e+02,1.203264222138130322e+02,1.203264222138130322e+02,1.203264222138130322e+02,1.002043835205490563e+00,1.038295832116555406e+00
2.089296130854040712e+03,3.515119509479170401e-01,-1.412084478251918007e+01,1.139975926217065307e+02,1.139975926217065307e+02,1.200181925349861558e+02,1.203366199792614566e+02,1.203366199792614566e+02,1.203366199792614566e+02,1.002096687975783773e+00,1.039515570783624332e+00
2.113489039836647862e+03,3.622978745975519166e-01,-1.418545230529246126e+01,1.139980614428227312e+02,1.139980614428227312e+02,1.200186613561023563e+02,1.203470587199338979e+02,1.203470587199338979e+02,1.203470587199338979e+02,1.002150777629977396e+00,1.040765616209477606e+00
2.137962089502232629e+03,3.733386358004665562e-01,-1.425030150015462738e+01,1.139985412104976490e+02,1.139985412104976490e+02,1.200191411237772741e+02,1.203577441968667188e+02,1.203577441968667188e+02,1.203577441968667188e+02,1.002206133252409925e+00,1.042046765393932928e+00
2.162718523727020056e+03,3.846403250004404306e-01,-1.431538249084941761e+01,1.139990321809524687e+02,1.139990321809524687e+02,1.200196320942320938e+02,1.203686823111222850e+02,1.203686823111222850e+02,1.203686823111222850e+02,1.002262784617843572e+00,1.043359838299330988e+00
2.187761623949551904e+03,3.962091805515411957e-01,-1.438068523905548624e+01,1.139995346164353549e+02,1.139995346164353549e+02,1.200201345297149800e+02,1.203798791072298968e+02,1.203798791072298968e+02,1.203798791072298968e+02,1.002320762208167348e+00,1.044705678598294663e+00
2.213094709605636581e+03,4.080515923444811843e-01,-1.444619954440621257e+01,1.140000487853646263e+02,1.140000487853646263e+02,1.200206486986442513e+02,1.203913407767072385e+02,1.203913407767072385e+02,1.203913407767072385e+02,1.002380097229509603e+00,1.046085154449122090e+00
2.238721138568339939e+03,4.201741055169554429e-01,-1.451191504436622104e+01,1.140005749624753548e+02,1.140005749624753548e+02,1.200211748757549799e+02,1.204030736616630861e+02,1.204030736616630861e+02,1.204030736616630861e+02,1.002440821629786427e+00,1.047499159299926097e+00
2.264644307593059693e+03,4.325834242490092518e-01,-1.457782121395763397e+01,1.140011134289696031e+02,1.140011134289696031e+02,1.200217133422492282e+02,1.204150842584826222e+02,1.204150842584826222e+02,1.204150842584826222e+02,1.002502968116689708e+00,1.048948612722667928e+00
2.290867652767774871e+03,4.452864156445377475e-01,-1.464390736532952708e+01,1.140016644726702282e+02,1.140016644726702282e+02,1.200222643859498532e+02,1.204273792215961549e+02,1.204273792215961549e+02,1.204273792215961549e+02,1.002566570176124383e+00,1.050434461278297871e+00
2.317394649968479825e+03,4.582901136997906688e-01,-1.471016264716378963e+01,1.140022283881784659e+02,1.140022283881784659e+02,1.200228283014580910e+02,1.204399653673321637e+02,1.204399653673321637e+02,1.204399653673321637e+02,1.002631662091115095e+00,1.051957679414238900e+00
2.344228815319922887e+03,4.716017233596586644e-01,-1.477657604391094992e+01,1.140028054770353663e+02,1.140028054770353663e+02,1.200234053903149913e+02,1.204528496778553261e+02,1.204528496778553261e+02,1.204528496778553261e+02,1.002698278961188016e+00,1.053519270395526286e+00
2.371373705661655094e+03,4.852286246624283317e-01,-1.484313637484948423e+01,1.140033960478870938e+02,1.140033960478870938e+02,1.200239959611667189e+02,1.204660393051902645e+02,1.204660393051902645e+02,1.204660393051902645e+02,1.002766456722244515e+00,1.055120267270928558e+00
2.398832919019489964e+03,4.991783769734878251e-01,-1.490983229296214674e+01,1.140040004166542786e+02,1.140040004166542786e+02,1.200246003299339037e+02,1.204795415753311403e+02,1.204795415753311403e+02,1.204795415753311403e+02,1.002836232166935737e+00,1.056761733875450693e+00
2.426610095082414318e+03,5.134587233082276159e-01,-1.497665228362305712e+01,1.140046189067055451e+02,1.140046189067055451e+02,1.200252188199851702e+02,1.204933639924376223e+02,1.204933639924376223e+02,1.204933639924376223e+02,1.002907642965559454e+00,1.058444765870675042e+00
2.454708915685031116e+03,5.280775947443130391e-01,-1.504358466308923425e+01,1.140052518490351616e+02,1.140052518490351616e+02,1.200258517623147867e+02,1.205075142431171145e+02,1.205075142431171145e+02,1.205075142431171145e+02,1.002980727687482254e+00,1.060170491824414363e+00
2.483133105295570203e+03,5.430431149230767751e-01,-1.511061757679037676e+01,1.140058995824451671e+02,1.140058995824451671e+02,1.200264994957247922e+02,1.205220002007929168e+02,1.205220002007929168e+02,1.205220002007929168e+02,1.003055525823114635e+00,1.061940074331240380e+00
2.511886431509582053e+03,5.583636046396662778e-01,-1.517773899741066757e+01,1.140065624537318456e+02,1.140065624537318456e+02,1.200271623670114707e+02,1.205368299301580493e+02,1.205368299301580493e+02,1.205368299301580493e+02,1.003132077806441869e+00,1.063754711175475043e+00
2.540972705549306284e+03,5.740475865211935869e-01,-1.524493672275649736e+01,1.140072408178768626e+02,1.140072408178768626e+02,1.200278407311564877e+02,1.205520116917135738e+02,1.205520116917135738e+02,1.205520116917135738e+02,1.003210425038134179e+00,1.065615636538294941e+00
2.570395782768864592e+03,5.901037897917472685e-01,-1.531219837340397127e+01,1.140079350382429197e+02,1.140079350382429197e+02,1.200285349515225448e+02,1.205675539463906745e+02,1.205675539463906745e+02,1.205675539463906745e+02,1.003290609909247122e+00,1.067524122250657070e+00
2.600159563165272175e+03,6.065411551228492293e-01,-1.537951139012009527e+01,1.140086454867744550e+02,1.140086454867744550e+02,1.200292454000540801e+02,1.205834653602543654e+02,1.205834653602543654e+02,1.205834653602543654e+02,1.003372675825533689e+00,1.069481479093777221e+00
2.630267991895381329e+03,6.233688395673543381e-01,-1.544686303105154046e+01,1.140093725442030035e+02,1.140093725442030035e+02,1.200299724574826286e+02,1.205997548092874752e+02,1.205997548092874752e+02,1.205997548092874752e+02,1.003456667232381916e+00,1.071489058148970885e+00
2.660725059798808616e+03,6.405962215744097632e-01,-1.551424036867489598e+01,1.140101166002578594e+02,1.140101166002578594e+02,1.200307165135374845e+02,1.206164313842518254e+02,1.206164313842518254e+02,1.206164313842518254e+02,1.003542629640390871e+00,1.073548252198703423e+00
2.691534803926913810e+03,6.582329060824698708e-01,-1.558163028650230331e+01,1.140108780538816688e+02,1.140108780538816688e+02,1.200314779671612939e+02,1.206335043956236888e+02,1.206335043956236888e+02,1.206335043956236888e+02,1.003630609651616101e+00,1.075660497180713326e+00
2.722701308077912927e+03,6.762887296866954001e-01,-1.564901947553633477e+01,1.140116573134516500e+02,1.140116573134516500e+02,1.200322572267312751e+02,1.206509833785999461e+02,1.206509833785999461e+02,1.206509833785999461e+02,1.003720654986488103e+00,1.077827273697165467e+00
2.754228703338166270e+03,6.947737658764946422e-01,-1.571639443046791484e+01,1.140124547970059723e+02,1.140124547970059723e+02,1.200330547102855974e+02,1.206688780981704099e+02,1.206688780981704099e+02,1.206688780981704099e+02,1.003812814511432450e+00,1.080050108580765444e+00
2.786121168629772001e+03,7.136983303380245447e-01,-1.578374144561118975e+01,1.140132709324758622e+02,1.140132709324758622e+02,1.200338708457554873e+02,1.206871985542510686e+02,1.206871985542510686e+02,1.206871985542510686e+02,1.003907138267210009e+00,1.082330576519851872e+00
2.818382931264454783e+03,7.330729863156594250e-01,-1.585104661056893072e+01,1.140141061579235071e+02,1.140141061579235071e+02,1.200347060712031322e+02,1.207059549868721433e+02,1.207059549868721433e+02,1.207059549868721433e+02,1.004003677497993019e+00,1.084670301744462106e+00
2.851018267503909556e+03,7.529085500255018326e-01,-1.591829580562231428e+01,1.140149609217857716e+02,1.140149609217857716e+02,1.200355608350653966e+02,1.207251578814141055e+02,1.207251578814141055e+02,1.207251578814141055e+02,1.004102484681205221e+00,1.087070959775411350e+00
2.884031503126605912e+03,7.732160961127914067e-01,-1.598547469683855127e+01,1.140158356831240098e+02,1.140158356831240098e+02,1.200364355964036349e+02,1.207448179738830305e+02,1.207448179738830305e+02,1.207448179738830305e+02,1.004203613558140917e+00,1.089534279238413506e+00
2.917427014001165844e+03,7.940069631439304887e-01,-1.605256873089004088e+01,1.140167309118799466e+02,1.140167309118799466e+02,1.200373308251595716e+02,1.207649462562162910e+02,1.207649462562162910e+02,1.207649462562162910e+02,1.004307119165390061e+00,1.092062043745273714e+00
2.951209226666383984e+03,8.152927591224781168e-01,-1.611956312957839188e+01,1.140176470891382365e+02,1.140176470891382365e+02,1.200382470024178616e+02,1.207855539816075776e+02,1.207855539816075776e+02,1.207855539816075776e+02,1.004413057867090897e+00,1.094656093844165401e+00
2.985382618917960372e+03,8.370853670168575400e-01,-1.618644288405678822e+01,1.140185847073951919e+02,1.140185847073951919e+02,1.200391846206748170e+02,1.208066526698390533e+02,1.208066526698390533e+02,1.208066526698390533e+02,1.004521487388033929e+00,1.097318329040953389e+00
3.019951720402016235e+03,8.593969502859254428e-01,-1.625319274874389208e+01,1.140195442708345155e+02,1.140195442708345155e+02,1.200401441841141406e+02,1.208282541126064018e+02,1.208282541126064018e+02,1.208282541126064018e+02,1.004632466847640737e+00,1.100050709893483747e+00
3.054921113215515561e+03,8.822399583865521144e-01,-1.631979723492254308e+01,1.140205262956097130e+02,1.140205262956097130e+02,1.200411262088893380e+02,1.208503703788210828e+02,1.208503703788210828e+02,1.208503703788210828e+02,1.004746056794849629e+00,1.102855260180677366e+00
3.090295432513592004e+03,9.056271322453591788e-01,-1.638624060401630089e+01,1.140215313101337955e+02,1.140215313101337955e+02,1.200421312234134206e+02,1.208730138198717441e+02,1.208730138198717441e+02,1.208730138198717441e+02,1.004862319243921220e+00,1.105734069148160970e+00
3.126079367123955763e+03,9.295715096743024652e-01,-1.645250686053688938e+01,1.140225598553759880e+02,1.140225598553759880e+02,1.200431597686556131e+02,1.208961970748241868e+02,1.208961970748241868e+02,1.208961970748241868e+02,1.004981317711207467e+00,1.108689293832026745e+00
3.162277660168379498e+03,9.540864307072306483e-01,-1.651857974469538348e+01,1.140236124851660549e+02,1.140236124851660549e+02,1.200442123984456799e+02,1.209199330755369601e+02,1.209199330755369601e+02,1.209199330755369601e+02,1.005103117252901024e+00,1.111723161462157883e+00
3.198895109691397010e+03,9.791855428315745513e-01,-1.658444272467004410e+01,1.140246897665063699e+02,1.140246897665063699e+02,1.200452896797859950e+02,1.209442350516668654e+02,1.209442350516668654e+02,1.209442350516668654e+02,1.005227784503796240e+00,1.114837971946325723e+00
