frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_CM_phase_deg
1.698243652461744375e+02,4.998976606159643010e-01,4.998976606159643010e-01,9.997953212319286020e-01,1.139776220875641144e+02,1.139776220875641144e+02,1.199982220008437395e+02,-2.420457585355223484e-05
1.717908387157587526e+02,4.998978384682413734e-01,4.998978384682413734e-01,9.997956769364827467e-01,1.139776251778065586e+02,1.139776251778065586e+02,1.199982250910861836e+02,-2.448486133351711891e-05
1.737800828749376194e+02,4.998980204633616808e-01,4.998980204633616808e-01,9.997960409267233617e-01,1.139776283400311598e+02,1.139776283400311598e+02,1.199982282533107849e+02,-2.476839270735935861e-05
1.757923613958693068e+02,4.998982066978303052e-01,4.998982066978303052e-01,9.997964133956606103e-01,1.139776315759146286e+02,1.139776315759146286e+02,1.199982314891942536e+02,-2.505520757265502433e-05
1.778279410038922776e+02,4.998983972704008072e-01,4.998983972704008072e-01,9.997967945408016144e-01,1.139776348871727549e+02,1.139776348871727549e+02,1.199982348004523800e+02,-2.534534396284092187e-05
1.798870915128787260e+02,4.998985922821277961e-01,4.998985922821277961e-01,9.997971845642555921e-01,1.139776382755613184e+02,1.139776382755613184e+02,1.199982381888409435e+02,-2.563884035224820766e-05
1.819700858609982674e+02,4.998987918364189431e-01,4.998987918364189431e-01,9.997975836728378862e-01,1.139776417428769406e+02,1.139776417428769406e+02,1.199982416561565657e+02,-2.593573566112986477e-05
1.840772001468956205e+02,4.998989960390922138e-01,4.998989960390922138e-01,9.997979920781844276e-01,1.139776452909581792e+02,1.139776452909581792e+02,1.199982452042378043e+02,-2.623606926086131236e-05
1.862087136662867408e+02,4.998992049984296027e-01,4.998992049984296027e-01,9.997984099968592053e-01,1.139776489216863524e+02,1.139776489216863524e+02,1.199982488349659775e+02,-2.653988097914028002e-05
1.883649089489800019e+02,4.998994188252365301e-01,4.998994188252365301e-01,9.997988376504730601e-01,1.139776526369866048e+02,1.139776526369866048e+02,1.199982525502662298e+02,-2.684721110554224609e-05
1.905460717963248385e+02,4.998996376328996849e-01,4.998996376328996849e-01,9.997992752657993698e-01,1.139776564388289870e+02,1.139776564388289870e+02,1.199982563521086121e+02,-2.715810039651573996e-05
1.927524913190936502e+02,4.998998615374463661e-01,4.998998615374463661e-01,9.997997230748927322e-01,1.139776603292293800e+02,1.139776603292293800e+02,1.199982602425090050e+02,-2.747259008096193105e-05
1.949844599758045547e+02,4.999000906576084868e-01,4.999000906576084868e-01,9.998001813152169737e-01,1.139776643102506739e+02,1.139776643102506739e+02,1.199982642235302990e+02,-2.779072186598952312e-05
1.972422736114853308e+02,4.999003251148822491e-01,4.999003251148822491e-01,9.998006502297644982e-01,1.139776683840037350e+02,1.139776683840037350e+02,1.199982682972833601e+02,-2.811253794190801008e-05
1.995262314968878741e+02,4.999005650335958673e-01,4.999005650335958673e-01,9.998011300671917345e-01,1.139776725526486842e+02,1.139776725526486842e+02,1.199982724659283093e+02,-2.843808098838500247e-05
2.018366363681561779e+02,4.999008105409731284e-01,4.999008105409731284e-01,9.998016210819462568e-01,1.139776768183959490e+02,1.139776768183959490e+02,1.199982767316755741e+02,-2.876739417983784625e-05
