#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A7F296
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100 Ω
#Average: 3
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 0 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 0.999935 V
#Offset: -0.000612848 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.45848 V
#Offset: -0.000277946 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.54417 V
#Offset: 0.000228067 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
4804.85959358264,-77.36013241592303,58818.0992581318,12870.70891017808,-57392.62716141253
4853.763833871759,-76.23879968195922,58720.35231876691,13968.14891027791,-57034.81912358814
4903.165825379545,-76.77207365737327,59799.88303124654,13683.73046683432,-58213.24188757914
4953.070634257211,-75.83935817713319,57797.0881372068,14139.55981654721,-56040.84443809118
5003.483378219633,-76.23829448212192,58121.9637712128,13826.30454844007,-56453.48505766458
5054.409227070217,-76.99908805079086,56891.90985089459,12798.77741553996,-55433.57018224409
5105.853403231019,-77.63167610178444,57179.34532088824,12247.54924861102,-55852.2610887709
5157.821182278319,-78.69753311188283,57535.4967665889,11276.28792571429,-56419.66606418858
5210.317893483644,-77.48750083814258,55777.12066429913,12084.2576129475,-54452.34528965401
5263.348920360249,-77.54591480489695,55137.24591314358,11890.74272083356,-53839.81913447901
5316.919701215232,-78.26538302868987,55236.59584768651,11233.95728960944,-54082.15717273016
5371.035729707191,-77.19525129259145,53583.20061577231,11875.60819812253,-52250.63940426745
5425.702555409618,-79.32616747413512,53561.2613560335,9920.500511632274,-52634.51707433091
5480.925784380019,-77.8729449163709,53053.27797317625,11145.44584919086,-51869.34875744887
5536.711079734771,-79.6113431887657,52994.74677698365,9556.246878990336,-52126.01396178694
5593.064162229922,-78.71264854779044,51834.82324081327,10145.61233685339,-50832.22846498709
5649.990810847808,-77.23775831204321,52715.09267329033,11645.07074378529,-51412.77392755446
5707.496863389696,-78.078464542405,50273.22579149818,10385.03867419072,-49188.90325285288
5765.5882170745,-78.81522572473321,50932.12868331984,9879.491732952785,-49964.76133549293
5824.270829143426,-78.74077971776497,49882.33527175612,9739.433762162493,-48922.29350875052
5883.550717471024,-78.38266775526253,49709.47062753895,10010.20677372083,-48691.14119033884
5943.433961182179,-79.8083681038643,47862.45375840173,8468.83022530426,-47107.25415888849
6003.92670127564,-79.03262748474589,48788.23203940671,9281.959680047372,-47897.14824526578
6065.035141253693,-79.4038655384719,48043.28405693246,8834.440975634565,-47224.03832396303
6126.765547758384,-77.25853765241681,47238.26758740708,10418.49895951723,-46075.03449906482
6189.124251214114,-79.80140659789573,47337.43332789143,8381.59332954248,-46589.49975402973
6252.117646476876,-79.56075582067787,46106.78616272775,8354.217242839812,-45343.60797857777
6315.752193489956,-78.75321651724238,46121.90211272989,8995.397243309051,-45236.18775859992
6380.034417946529,-79.0033008424839,45726.83851901906,8722.506156290954,-44887.21028642693
6444.970911958709,-78.35213960925627,44449.13009362706,8974.106506224896,-43533.78663170843
6510.568334733727,-78.82720173030339,44481.12349841481,8619.045530122534,-43638.08430523623
6576.83341325668,-78.30697977937758,44518.9902621869,9022.574932185691,-43595.11022531984
6643.772942980501,-79.37716302246824,44289.82500765278,8164.524296009912,-43530.783845784
6711.393788522748,-80.49991545614775,43381.63536851006,7160.098190569965,-42786.67176993041
6779.702884369624,-79.27680229273217,42847.64973615773,7972.423818929487,-42099.42453720506
6848.707235587054,-79.84596004514951,42527.38874946327,7497.374797541798,-41861.29674285257
6918.413918539111,-78.56031268057069,43119.84526335456,8552.230637262321,-42263.22759400556
6988.830081613603,-79.78124060279163,41627.97636727212,7385.093133810235,-40967.65572789241
7059.962945955275,-80.71252803540257,41194.45983239907,6648.292960038589,-40654.44282732998
7131.819806206162,-80.20330134509345,41419.64900103118,7047.665952605023,-40815.65542765564
7204.408031253834,-80.82082758828363,40297.04228965289,6428.278611759026,-39781.01119106545
7277.735064986896,-80.05860525869288,40791.90171644914,7042.345393187406,-40179.40538394637
7351.8084270585,-79.48473287399919,39444.21318235387,7198.471033293705,-38781.79944713513
7426.635713657383,-80.33088760337013,39036.83379119749,6556.547431134506,-38482.28265351292
7502.224598286924,-80.42147256781439,39509.63941607248,6574.373032342588,-38958.81448426883
7578.582832551989,-80.88300049952154,39358.11853164421,6236.334154710047,-38860.90105313762
7655.718246953934,-80.14885562284228,38448.51436360786,6578.11954845817,-37881.61295371083
7733.638751693509,-79.78913820655882,38571.12723353294,6837.554449264866,-37960.23847684212
7812.352337482205,-80.12305401631049,37589.55056064895,6447.837453545944,-37032.41422759571
7891.867076361503,-81.07499454571932,37513.89558914548,5819.963698700259,-37059.68678792523
7972.191122530851,-81.1819049420006,36822.7668383347,5644.85390729359,-36387.52233933596
8053.33271318373,-80.83529691293296,36203.92919917368,5766.309672159293,-35741.77055244385
8135.300169352425,-80.57953627995352,36676.61734467761,6003.166935376028,-36181.98787510043
8218.101896761378,-80.79285537925637,35738.3403586793,5718.287400799685,-35277.89904167567
8301.746386689121,-81.73665170831374,35512.21440991059,5103.928341257501,-35143.52412298416
8386.242216839124,-81.43693551411597,35619.72313669497,5303.702480939151,-35222.65487336925
8471.598052219375,-81.16027043634563,35080.98736095308,5390.932112557709,-34664.29755782084
8557.822646030994,-81.54905213064583,34921.4631361309,5132.15040230644,-34542.28741436003
8644.924840565905,-81.56140641335377,34129.51716932907,5008.484615077365,-33760.02109110806
8732.913568113538,-81.19776994243031,33423.94601356457,5114.675936686244,-33030.29302292612
8821.797851876903,-81.22647617506769,33476.73974051061,5106.179097983447,-33085.0274092859
8911.586806897863,-80.33189572456617,32650.869813196,5483.407540204943,-32187.13316383268
9002.289640991896,-80.50857830403021,32847.25886087416,5416.510939010075,-32397.58978567481
