frequency_hz,impedance_real_ohm,impedance_imag_ohm,magnitude_ohm,phase_deg,load_magnitude_ohm,load_phase_deg,external_impedance_magnitude_ohm,external_impedance_phase_deg
1000,0.578691432611664,-7.93533104039469,7.95640386700107,-85.829035269493,7.95772359286304,-89.8199991709525,0.312688227005679,2.74353124028774
1010.17807895041,0.578380036467064,-7.85497820234017,7.87624314161408,-85.7887802257525,7.87754483750876,-89.8181670911686,0.312758833288011,2.77085063765182
1020.45975119194,0.578076811525612,-7.7754308582917,7.79689026677293,-85.748076403121,7.79817392070579,-89.8163163638034,0.312829915303513,2.7984383871847
1030.84607110529,0.577781604438592,-7.69668085179016,7.71833710825984,-85.7069193226359,7.71960270300359,-89.8144467990442,0.312901477743643,2.82629705659535
1041.33810380272,0.577494264983268,-7.61872010810987,7.64057561390542,-85.6653044529424,7.64182312696043,-89.8125582051455,0.312973525368242,2.85442923675126
1051.93692523729,0.577214646000579,-7.54154063343146,7.56359781276447,-85.623227209702,7.56482721631704,-89.8106503884101,0.313046063006747,2.88283754185434
1062.64362231321,0.576942603334106,-7.46513451402313,7.48739581430027,-85.5806829549928,7.48860707517869,-89.8087231531685,0.313119095559438,2.91152460961726
1073.45929299726,0.576677995770244,-7.38949391542997,7.41196180757713,-85.5376669967007,7.41315488720544,-89.8067763017592,0.313192627998695,2.94049310144028
1084.38504643144,0.576420684979593,-7.31461108167149,7.33728806046101,-85.4941745879028,7.33846291481058,-89.8048096345084,0.313266665370289,2.9697457025884
1095.42200304666,0.576170535459508,-7.24047833444716,7.26336691882838,-85.4502009262409,7.26452349836717,-89.8028229497092,0.313341212794692,2.99928512236895
1106.57129467768,0.575927414477815,-7.16708807234979,7.19019080578296,-85.4057411532872,7.19132905542253,-89.8008160436013,0.313416275468411,3.02911409430951
1117.83406467917,0.575691192017651,-7.09443277008688,7.1177522208805,-85.3607903538999,7.11887207992064,-89.7987887103499,0.313491858665353,3.05923537633611
1129.21146804293,0.575461740723408,-7.02250497770974,7.04604373936144,-85.3153435555703,7.04714514143248,-89.7967407420244,0.313567967738209,3.08965175095173
1140.70467151638,0.575238935847769,-6.95129731985019,6.97505801139114,-85.2693957277602,6.97614088439393,-89.7946719285773,0.313644608119869,3.12036602541503
1152.31485372218,0.575022655199802,-6.88080249496509,6.90478776130815,-85.2229417812294,6.90585202735153,-89.7925820578226,0.313721785324858,3.15138103191935
1164.04320527909,0.5748127790941,-6.81101327458821,6.83522578687981,-85.1759765673541,6.83627136221577,-89.7904709154139,0.313799504950805,3.18269962777176
1175.89092892411,0.574609190300933,-6.74192250258975,6.76636495856559,-85.1284948774352,6.76739175352189,-89.7883382848223,0.313877772679936,3.21432469557235
1187.85923963577,0.574411773997414,-6.67352309444309,6.69819821878781,-85.0804914419967,6.69920613769812,-89.7861839473146,0.313956594280597,3.24625914339357
1199.94936475876,0.574220417719637,-6.60580803649903,6.63071858120982,-85.031960930073,6.63170752234135,-89.7840076819302,0.314035975608803,3.2785059049596
1212.16254412976,0.574035011315773,-6.53877038526712,6.56391913002153,-84.9828979484875,6.56488898550005,-89.7818092654591,0.314115922609818,3.31106793982578
1224.50003020465,0.573855446900117,-6.47240326670429,6.49779301923209,-84.933297041119,6.49874367496443,-89.7795884724183,0.314196441319765,3.34394823355799
1236.96308818685,0.573681618808053,-6.40669987551054,6.43233347196995,-84.8831526881587,6.43326480756373,-89.7773450750293,0.314277537867266,3.37714979791187
1249.55299615716,0.573513423551921,-6.34165347443159,6.36753377978983,-84.8324593053549,6.36844566847063,-89.7750788431941,0.31435921847511,3.41067567101209
1262.27104520476,0.573350759777773,-6.27725739356862,6.3033873019869,-84.7812112432481,6.30427961051264,-89.7727895444721,0.314441489461956,3.44452891753122
1275.11853955967,0.573193528222999,-6.21350502969482,6.2398874649179,-84.729402786394,6.24076005349044,-89.7704769440556,0.314524357244067,3.47871262886855
1288.09679672644,0.5730416316748,-6.15038984557874,6.17702776132912,-84.6770281525749,6.17788048350308,-89.7681408047466,0.314607828337076,3.51322992332856
1301.20714761929,0.572894974929502,-6.08790536931449,6.11480174969129,-84.6240814919997,6.11563445227997,-89.7657808869315,0.31469190935778,3.54808394629904
1314.4509366986,0.572753464752675,-6.02604519365848,6.05320305354121,-84.5705568864922,6.05401557651963,-89.7633969485569,0.314776607025981,3.5832778704289
1327.82952210876,0.57261700984007,-5.96480297537292,5.99222536083014,-84.5164483486672,5.9930175372351,-89.7609887451049,0.314861928166345,3.61881489580539
1341.34427581747,0.572485520779325,-5.90417243457581,5.93186242327878,-84.4617498210942,5.93263407910589,-89.7585560295676,0.314947879710309,3.65469825013098
1354.99658375642,0.572358910012452,-5.84414735409733,5.87210805573888,-84.4064551754485,5.87285900983653,-89.7560985524222,0.315034468698016,3.69093118889957
1368.78784596343,0.572237091799069,-5.78472157884281,5.81295613556134,-84.35055821165,5.81368619952154,-89.7536160616048,0.315121702280287,3.72751699557207
1382.719476726,0.572119982180381,-5.72588901516191,5.7544006019708,-84.294052656989,5.75510958001682,-89.7511083024849,0.315209587720633,3.76445898175135
1396.79290472639,0.572007498943871,-5.66764363022419,5.69643545544658,-84.2369321652383,5.69712314431735,-89.7485750178393,0.315298132397305,3.80176048735635
1411.00957318807,0.571899561588718,-5.60997945140084,5.63905475711001,-84.179190315753,5.63972094594121,-89.7460159478253,0.315387343805374,3.8394248807954
1425.37094002376,0.571796091291892,-5.55289056565255,5.58225262811795,-84.1208206125551,5.5828970983197,-89.7434308299543,0.315477229558861,3.87745555913865
1439.87847798494,0.571697010874949,-5.4963711189236,5.52602324906264,-84.0618164834062,5.52664577419378,-89.7408193990647,0.315567797392898,3.91585594828944
1454.53367481287,0.571602244771474,-5.44041531554181,5.47036085937753,-84.0021712788644,5.47096120501638,-89.7381813872947,0.315659055165935,3.95462950315474
1469.33803339114,0.571511718995199,-5.38501741762468,5.41525975674945,-83.9418782713279,5.41583768036091,-89.7355165240548,0.315751010861984,3.9937797078143
1484.29307189984,0.571425361108744,-5.33017174449122,5.3607142965365,-83.8809306540636,5.36126954733562,-89.732824536,0.315843672592906,4.03331007568874
1499.40032397118,0.571343100193001,-5.27587267207978,5.30671889119222,-83.8193215402208,5.30725121000392,-89.7301051470015,0.31593704860074,4.07322414970624
1514.66133884683,0.571264866817124,-5.22211463237168,5.25326800969549,-83.7570439618301,5.25377712881053,-89.7273580781188,0.316031147260081,4.11352550246784
1530.07768153674,0.571190593009126,-5.16889211282047,5.20035617698632,-83.6940908687868,5.20084182001335,-89.7245830475704,0.316125977080488,4.15421773641135
1545.65093297968,0.571120212227073,-5.11619965578698,5.14797797340753,-83.6304551278184,5.14843985512118,-89.7217797707053,0.316221546708955,4.19530448397357
1561.38269020532,0.571053659330846,-5.06403185797992,5.09612803415208,-83.5661295214366,5.09656586033693,-89.7189479599737,0.316317864932412,4.23678940775097
1577.27456649804,0.570990870554482,-5.01238336990211,5.04480104871617,-83.5011067468728,5.04521451600666,-89.7160873248971,0.316414940680279,4.27867620065852
1593.32819156233,0.570931783479067,-4.96124889530213,4.99399176035796,-83.4353794149972,4.99438055607397,-89.713197572039,0.316512783027072,4.32096858608667
1609.54521168996,0.570876337006175,-4.91062319063149,4.94369496556183,-83.3689400492212,4.94405876753996,-89.7102784049743,0.316611401195044,4.36367031805645
1625.9272899288,0.570824471331844,-4.8605010645072,4.8939055135083,-83.3017810843824,4.89424398992872,-89.7073295242587,0.316710804556889,4.4067851813724
1642.47610625332,0.570776127921068,-4.81087737717961,4.84461830554927,-83.2338948656129,4.84493111475804,-89.7043506273984,0.316811002638488,4.45031699177334
1659.19335773693,0.570731249482818,-4.76174704000563,4.7958282946889,-83.165273647189,4.79611508501557,-89.7013414088189,0.316912005121703,4.49426959608091
1676.08075872597,0.570689779945547,-4.71310501492713,4.74753048506963,-83.0959095913639,4.74779089464026,-89.6983015598332,0.317013821847234,4.53864687234561
1693.14004101554,0.570651664433208,-4.66494631395448,4.69971993146378,-83.025794767181,4.69995358800892,-89.6952307686102,0.317116462817511,4.58345272999043
1710.3729540271,0.570616849241738,-4.61726599865536,4.65239173877022,-82.9549211492695,4.65259825942809,-89.6921287201431,0.31721993819966,4.62869110995169
1727.78126498783,0.570585281816027,-4.57005917964844,4.60554106151645,-82.8832806166204,4.60572005263091,-89.6889950962164,0.317324258328502,4.67436598481721
1745.36675911192,0.570556910727346,-4.52332101610229,4.55916310336573,-82.8108649513435,4.55931416027916,-89.6858295753734,0.317429433709625,4.72048135896155
1763.13123978358,0.570531685651233,-4.47704671523912,4.51325311662945,-82.7376658374048,4.51337582347024,-89.6826318328832,0.317535475022501,4.76704126867817
1781.07652874203,0.570509557345825,-4.43123153184348,4.46780640178453,-82.6636748593435,4.46790033124914,-89.6794015407072,0.317642393123665,4.8140497823085
1799.20446626829,0.570490477630618,-4.38587076777588,4.42281830699591,-82.5888835009689,4.42288302012538,-89.6761383674656,0.317750199049948,4.86151100036757
1817.51691137389,0.570474399365673,-4.34095977149113,4.37828422764397,-82.5132831440367,4.37831927359471,-89.6728419784028,0.317858904021775,4.90942905566631
1836.01574199156,0.570461276431225,-4.2964939375616,4.33419960585701,-82.4368650669042,4.33420452166572,-89.6695120353534,0.317968519446518,4.95780811343012
1854.70285516775,0.570451063707708,-4.25246870620502,4.29055993004856,-82.3596204431636,4.2905342403912,-89.6661481967075,0.318079056921911,5.00665237141379
1873.5801672572,0.570443717056193,-4.20887956281714,4.24736073445954,-82.2815403402541,4.2473039514042,-89.662750117375,0.31819052823953,5.05596606001241
1892.64961411946,0.570439193299202,-4.16572203750886,4.20459759870535,-82.2026157180511,4.20450922145877,-89.6593174487507,0.318302945388332,5.10575344236823
