frequency_Hz,ltspice_gain_dB,python_gain_dB,error_python_minus_ltspice_dB,abs_H_ltspice,abs_H_python
100.0,-0.10704230900650386,-0.10704230900652144,-1.7583157152500917e-14,0.9877519245722355,0.9877519245722335
101.15794542598987,-0.10701797158183522,-0.10701797158192701,-9.178768856088482e-14,0.9877546922071855,0.987754692207175
102.32929922807543,-0.10699306724427846,-0.1069930672443224,-4.3950953987348385e-14,0.9877575243191014,0.9877575243190964
103.5142166679344,-0.10696758278749588,-0.10696758278758862,-9.274525591962401e-14,0.987760422410364,0.9877604224103534
104.71285480508999,-0.10694150469800531,-0.10694150469794968,5.563605132152816e-14,0.9877633880183135,0.9877633880183199
105.92537251772893,-0.10691481914664659,-0.1069148191468067,-1.601080379387554e-13,0.9877664227162214,0.9877664227162032
107.15193052376068,-0.10688751198347915,-0.10688751198339422,8.493206138382448e-14,0.9877695281138721,0.9877695281138817
108.3926914021204,-0.10685956872727281,-0.10685956872728061,-7.799316747991725e-15,0.9877727058587601,0.9877727058587592
109.64781961431855,-0.10683097456062082,-0.10683097456068526,-6.443456879168252e-14,0.9877759576366474,0.9877759576366401
110.91748152624017,-0.10680171432054991,-0.10680171432061533,-6.541989172603735e-14,0.9877792851726331,0.9877792851726257
112.20184543019643,-0.1067717724908495,-0.10677177249082313,2.6367796834847468e-14,0.987782690232028,0.987782690232031
113.5010815672316,-0.10674113319360017,-0.10674113319357673,2.3439583607398617e-14,0.9877861746213197,0.9877861746213223
114.81536214968837,-0.10670978018109264,-0.1067097801812303,-1.376537772657116e-13,0.9877897401890938,0.9877897401890782
116.14486138403437,-0.10667769682743622,-0.10667769682761682,-1.8060553053089734e-13,0.9877933888269909,0.9877933888269703
117.48975549395307,-0.1066448661190961,-0.10664486611921618,-1.200844979010185e-13,0.9877971224707843,0.9877971224707707
118.85022274370196,-0.10661127064628233,-0.10661127064612418,1.5815126985785355e-13,0.9878009431013627,0.9878009431013807
120.22644346174143,-0.10657689259279116,-0.10657689259284583,-5.467848396278896e-14,0.9878048527458871,0.9878048527458809
121.61860006463694,-0.10654171372877067,-0.1065417137288058,-3.5138558729386205e-14,0.9878088534786171,0.9878088534786131
123.0268770812383,-0.10650571539853876,-0.10650571539869592,-1.5716594692349872e-13,0.9878129474222985,0.9878129474222807
124.45146117713865,-0.10646887851253103,-0.10646887851257594,-4.490852134608758e-14,0.9878171367490823,0.9878171367490772
125.89254117941688,-0.10643118353554898,-0.10643118353574225,-1.9327595079943194e-13,0.9878214236818643,0.9878214236818423
127.35030810166634,-0.10639261047845647,-0.1063926104783725,8.396061623727746e-14,0.9878258104952325,0.9878258104952421
128.82495516931357,-0.10635313888487177,-0.10635313888490008,-2.8310687127941492e-14,0.9878302995169843,0.9878302995169811
130.31667784523015,-0.10631274782321447,-0.10631274782317932,3.515243651719402e-14,0.9878348931290342,0.9878348931290382
131.82567385564093,-0.10627141587316216,-0.10627141587337496,-2.1280199824502688e-13,0.9878395937689579,0.9878395937689337
133.35214321633262,-0.10622912111631724,-0.1062291211165818,-2.64552268980367e-13,0.987844403931058,0.9878444039310279
134.8962882591656,-0.1061858411231082,-0.1061858411232185,-1.103006574965093e-13,0.9878493261678573,0.9878493261678447
136.4583136588927,-0.1061415529410485,-0.10614155294110708,-5.857814233678482e-14,0.9878543630914386,0.9878543630914319
138.03842646028875,-0.10609623308317914,-0.10609623308329921,-1.2007062011321068e-13,0.9878595173747639,0.9878595173747502
139.63683610559403,-0.10604985751557466,-0.10604985751562152,-4.6851411639181606e-14,0.9878647917530995,0.9878647917530942
141.2537544622757,-0.10600240164368199,-0.1060024016439036,-2.2160051571518125e-13,0.9878701890255752,0.98787018902555
142.88939585111058,-0.1059538403009514,-0.10595384030094651,4.884981308350689e-15,0.9878757120564822,0.9878757120564827
144.54397707459304,-0.10590414773324372,-0.10590414773315002,9.370282327836321e-14,0.9878813637770517,0.9878813637770624
146.21771744567212,-0.10585329758695258,-0.10585329758685985,9.27313781318162e-14,0.987887147186812,0.9878871471868226
147.91083881682107,-0.10580126289435143,-0.1058012628943729,-2.1468937738688965e-14,0.9878930653552606,0.9878930653552581
149.6235656094437,-0.10574801605947642,-0.10574801605963359,-1.5716594692349872e-13,0.9878991214234758,0.9878991214234579
151.3561248436212,-0.10569352884336468,-0.10569352884357258,-2.0790313914886838e-13,0.9879053186058028,0.9879053186057791
153.10874616820337,-0.10563777234891353,-0.10563777234912924,-2.1571633368466792e-13,0.9879116601915818,0.9879116601915573
154.8816618912485,-0.10558071700588445,-0.10558071700592934,-4.489464355827977e-14,0.9879181495468614,0.9879181495468563
156.6751070108153,-0.1055223325545277,-0.10552233255456575,-3.805289416902724e-14,0.987924790116268,0.9879247901162637
158.48931924611176,-0.10546258803040293,-0.1054625880305435,-1.4056811270535263e-13,0.9879315854247404,0.9879315854247244
160.3245390690046,-0.10540145174791975,-0.10540145174785923,6.052103262987885e-14,0.9879385390794099,0.9879385390794168
162.18100973589344,-0.1053388912820152,-0.10533889128216845,-1.5323853297388723e-13,0.987945654771693,0.9879456547716756
164.0589773199544,-0.10527487345374545,-0.1052748734535717,1.73749903353837e-13,0.9879529362789393,0.9879529362789591
165.95869074375656,-0.10520936430885809,-0.10520936430902109,-1.629946178027808e-13,0.9879603874668776,0.9879603874668591
167.88040181225654,-0.10514232910434229,-0.10514232910427494,6.734890423132356e-14,0.9879680122911562,0.9879680122911638
169.82436524617495,-0.10507373228558729,-0.10507373228546237,1.2492784584594574e-13,0.9879758147999506,0.9879758147999648
171.79083871575935,-0.1050035374703623,-0.10500353747021979,1.4251100299844666e-13,0.987983799135797,0.9879837991358132
173.7800828749381,-0.10493170742834618,-0.10493170742835692,-1.074140776324839e-14,0.987991969537932,0.9879919695379308
